Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Equity","0.91","185.80","5,666.00","1,052,742.80","1,052,742.80","Financials","DE0008430026","Xetra","Germany","EUR"
"ORA","ORANGE SA","Equity","0.90","13.80","75,655.00","1,043,660.72","1,043,660.72","Communication","FR0000133308","Nyse Euronext - Euronext Paris","France","EUR"
"RI","PERNOD RICARD SA","Equity","0.89","129.90","7,963.00","1,034,393.70","1,034,393.70","Consumer Staples","FR0000120693","Nyse Euronext - Euronext Paris","France","EUR"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Equity","0.89","147.10","6,959.00","1,023,668.90","1,023,668.90","Consumer Discretionary","DE0007664039","Xetra","Germany","EUR"
"GLE","SOCIETE GENERALE SA","Equity","0.89","35.15","29,115.00","1,023,246.68","1,023,246.68","Financials","FR0000130809","Nyse Euronext - Euronext Paris","France","EUR"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Equity","0.88","24.71","41,327.00","1,021,190.17","1,021,190.17","Consumer Discretionary","ES0148396007","Bolsa De Madrid","Spain","EUR"
"NOKIA","NOKIA","Equity","0.86","4.71","211,128.00","995,468.52","995,468.52","Information Technology","FI0009000681","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"FRE","FRESENIUS SE AND CO KGAA","Equity","0.86","62.82","15,782.00","991,425.24","991,425.24","Health Care","DE0005785604","Xetra","Germany","EUR"
"BMW","BMW AG","Equity","0.81","75.24","12,414.00","934,029.36","934,029.36","Consumer Discretionary","DE0005190003","Xetra","Germany","EUR"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Equity","0.79","19.48","46,932.00","914,329.22","914,329.22","Consumer Staples","NL0011794037","Euronext Amsterdam","Netherlands","EUR"
"EL","ESSILORLUXOTTICA SA","Equity","0.79","115.65","7,905.00","914,213.25","914,213.25","Health Care","FR0000121667","Nyse Euronext - Euronext Paris","France","EUR"
"UCG","UNICREDIT","Equity","0.78","12.05","75,254.00","906,961.21","906,961.21","Financials","IT0005239360","Borsa Italiana","Italy","EUR"
"NXPI","NXP SEMICONDUCTORS NV","Equity","0.77","69.27","12,886.00","892,670.82","892,670.82","Information Technology","NL0009538784","NASDAQ","Netherlands","USD"
"VIV","VIVENDI SA","Equity","0.75","21.85","39,436.00","861,676.60","861,676.60","Communication","FR0000127771","Nyse Euronext - Euronext Paris","France","EUR"
"URW","WFD UNIBAIL RODAMCO STAPLED UNITS","Equity","0.74","161.96","5,248.00","849,966.08","849,966.08","Real Estate","FR0013326246","Euronext Amsterdam","France","EUR"
"REP","REPSOL SA","Equity","0.72","16.28","51,091.00","831,761.48","831,761.48","Energy","ES0173516115","Bolsa De Madrid","Spain","EUR"
"CRG","CRH PLC","Equity","0.72","26.40","31,450.00","830,280.00","830,280.00","Materials","IE0001827041","Irish Stock Exchange - All Market","Ireland","EUR"
"IFX","INFINEON TECHNOLOGIES AG","Equity","0.70","19.02","42,598.00","810,000.97","810,000.97","Information Technology","DE0006231004","Xetra","Germany","EUR"
"ENGI","ENGIE SA","Equity","0.70","11.75","68,467.00","804,487.25","804,487.25","Utilities","FR0010208488","Nyse Euronext - Euronext Paris","France","EUR"
