Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"CBG","CLOSE BROS GROUP PLC","Equity","0.70","15.25","60,999.00","930,234.75","930,234.75","Financials","GB0007668071","London Stock Exchange","United Kingdom","GBP"
"VCT","VICTREX PLC","Equity","0.70","26.84","34,653.00","930,086.52","930,086.52","Materials","GB0009292243","London Stock Exchange","United Kingdom","GBP"
"QLT","QUILTER PLC","Equity","0.70","1.23","755,991.00","928,508.15","928,508.15","Financials","GB00BDCXV269","London Stock Exchange","United Kingdom","GBP"
"EMG","MAN GROUP PLC","Equity","0.70","1.44","644,313.00","925,233.47","925,233.47","Financials","GB00B83VD954","London Stock Exchange","United Kingdom","GBP"
"ISAT","INMARSAT PLC","Equity","0.70","5.01","184,375.00","924,456.25","924,456.25","Communication","GB00B09LSH68","London Stock Exchange","United Kingdom","GBP"
"ABC","ABCAM PLC","Equity","0.69","12.43","73,757.00","916,799.51","916,799.51","Health Care","GB00B6774699","London Stock Exchange","United Kingdom","GBP"
"MTRO","METRO BANK PLC","Equity","0.68","26.04","34,812.00","906,504.48","906,504.48","Financials","GB00BZ6STL67","London Stock Exchange","United Kingdom","GBP"
"INCH","INCHCAPE PLC","Equity","0.68","5.37","167,194.00","896,995.81","896,995.81","Consumer Discretionary","GB00B61TVQ02","London Stock Exchange","United Kingdom","GBP"
"UTG","UNITE GROUP PLC","Equity","0.67","8.42","105,973.00","892,292.66","892,292.66","Real Estate","GB0006928617","London Stock Exchange","United Kingdom","GBP"
"IGG","IG GROUP HOLDINGS PLC","Equity","0.67","5.96","148,215.00","884,102.47","884,102.47","Financials","GB00B06QFB75","London Stock Exchange","United Kingdom","GBP"
"HAS","HAYS PLC","Equity","0.67","1.59","555,204.00","882,774.36","882,774.36","Industrials","GB0004161021","London Stock Exchange","United Kingdom","GBP"
"DPH","DECHRA PHARMACEUTICALS PLC","Equity","0.66","21.20","41,209.00","873,630.80","873,630.80","Health Care","GB0009633180","London Stock Exchange","United Kingdom","GBP"
"CPI","CAPITA PLC","Equity","0.66","1.32","660,558.00","870,285.16","870,285.16","Industrials","GB00B23K0M20","London Stock Exchange","United Kingdom","GBP"
"BBOX","TRITAX BIG BOX REIT PLC","Equity","0.65","1.46","589,369.00","862,394.19","862,394.19","Real Estate","GB00BG49KP99","London Stock Exchange","United Kingdom","GBP"
"AGK","AGGREKO PLC","Equity","0.65","8.32","103,517.00","861,675.51","861,675.51","Industrials","GB00BK1PTB77","London Stock Exchange","United Kingdom","GBP"
"BVIC","BRITVIC PLC","Equity","0.62","7.67","106,501.00","816,862.67","816,862.67","Consumer Staples","GB00B0N8QD54","London Stock Exchange","United Kingdom","GBP"
"WMH","WILLIAM HILL PLC","Equity","0.60","2.32","345,984.00","801,298.94","801,298.94","Consumer Discretionary","GB0031698896","London Stock Exchange","United Kingdom","GBP"
"SMWH","WH SMITH PLC","Equity","0.60","17.88","44,361.00","793,174.68","793,174.68","Consumer Discretionary","GB00B2PDGW16","London Stock Exchange","United Kingdom","GBP"
"DMGT","DAILY MAIL AND GENERAL TRUST NON V","Equity","0.60","6.86","115,553.00","792,693.58","792,693.58","Communication","GB0009457366","London Stock Exchange","United Kingdom","GBP"
"EVR","EVRAZ","Equity","0.59","5.51","142,378.00","784,502.78","784,502.78","Materials","GB00B71N6K86","London Stock Exchange","United Kingdom","GBP"
"NEX","NATIONAL EXPRESS GROUP PLC","Equity","0.56","3.96","185,712.00","735,790.94","735,790.94","Industrials","GB0006215205","London Stock Exchange","United Kingdom","GBP"
"BBY","BALFOUR BEATTY PLC","Equity","0.55","2.60","277,872.00","723,300.82","723,300.82","Industrials","GB0000961622","London Stock Exchange","United Kingdom","GBP"
"GPOR","GREAT PORTLAND ESTATES REIT PLC","Equity","0.53","6.87","102,392.00","702,921.08","702,921.08","Real Estate","GB00BF5H9P87","London Stock Exchange","United Kingdom","GBP"
