Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"PHIA","KONINKLIJKE PHILIPS NV","Equity","0.62","35.84","334,245.00","11,981,012.03","11,981,012.03","Health Care","NL0000009538","Euronext Amsterdam","Netherlands","EUR"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Equity","0.61","63.20","185,445.00","11,719,543.04","11,719,543.04","Consumer Discretionary","CH0210483332","Six Swiss Exchange Ag","Switzerland","CHF"
"TEF","TELEFONICA SA","Equity","0.60","6.95","1,659,972.00","11,536,805.40","11,536,805.40","Communication","ES0178430E18","Bolsa De Madrid","Spain","EUR"
"AMS","AMADEUS IT GROUP SA","Equity","0.59","72.66","157,108.00","11,415,467.28","11,415,467.28","Information Technology","ES0109067019","Bolsa De Madrid","Spain","EUR"
"ISP","INTESA SANPAOLO","Equity","0.56","2.05","5,288,347.00","10,822,602.14","10,822,602.14","Financials","IT0000072618","Borsa Italiana","Italy","EUR"
"CSGN","CREDIT SUISSE GROUP AG","Equity","0.55","11.75","907,971.00","10,671,645.61","10,671,645.61","Financials","CH0012138530","Six Swiss Exchange Ag","Switzerland","CHF"
"DPW","DEUTSCHE POST AG","Equity","0.53","28.95","354,308.00","10,257,216.60","10,257,216.60","Industrials","DE0005552004","Xetra","Germany","EUR"
"KER","KERING SA","Equity","0.53","378.30","26,928.00","10,186,862.40","10,186,862.40","Consumer Discretionary","FR0000121485","Nyse Euronext - Euronext Paris","France","EUR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Equity","0.51","185.80","53,336.00","9,909,828.80","9,909,828.80","Financials","DE0008430026","Xetra","Germany","EUR"
"EQNR","EQUINOR","Equity","0.51","23.54","420,451.00","9,897,919.13","9,897,919.13","Energy","NO0010096985","Oslo Bors Asa","Norway","NOK"
"RI","PERNOD RICARD SA","Equity","0.51","129.90","75,427.00","9,797,967.30","9,797,967.30","Consumer Staples","FR0000120693","Nyse Euronext - Euronext Paris","France","EUR"
"ORA","ORANGE SA","Equity","0.51","13.80","708,647.00","9,775,785.37","9,775,785.37","Communication","FR0000133308","Nyse Euronext - Euronext Paris","France","EUR"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Equity","0.50","147.10","65,931.00","9,698,450.10","9,698,450.10","Consumer Discretionary","DE0007664039","Xetra","Germany","EUR"
"GLE","SOCIETE GENERALE SA","Equity","0.50","35.15","275,454.00","9,680,830.83","9,680,830.83","Financials","FR0000130809","Nyse Euronext - Euronext Paris","France","EUR"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Equity","0.50","24.71","387,490.00","9,574,877.90","9,574,877.90","Consumer Discretionary","ES0148396007","Bolsa De Madrid","Spain","EUR"
"NOKIA","NOKIA","Equity","0.49","4.71","2,000,365.00","9,431,720.97","9,431,720.97","Information Technology","FI0009000681","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"FRE","FRESENIUS SE AND CO KGAA","Equity","0.48","62.82","148,980.00","9,358,923.60","9,358,923.60","Health Care","DE0005785604","Xetra","Germany","EUR"
"NDA SE","NORDEA BANK","Equity","0.47","8.28","1,091,843.00","9,039,443.90","9,039,443.90","Financials","FI4000297767","Nasdaq Omx Nordic","Sweden","SEK"
"BMW","BMW AG","Equity","0.46","75.24","118,525.00","8,917,821.00","8,917,821.00","Consumer Discretionary","DE0005190003","Xetra","Germany","EUR"
"SREN","SWISS RE AG","Equity","0.46","78.09","112,531.00","8,787,239.65","8,787,239.65","Financials","CH0126881561","Six Swiss Exchange Ag","Switzerland","CHF"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Equity","0.45","19.48","442,852.00","8,627,642.66","8,627,642.66","Consumer Staples","NL0011794037","Euronext Amsterdam","Netherlands","EUR"
"UCG","UNICREDIT","Equity","0.44","12.05","711,117.00","8,570,382.08","8,570,382.08","Financials","IT0005239360","Borsa Italiana","Italy","EUR"
"EL","ESSILORLUXOTTICA SA","Equity","0.44","115.65","73,948.00","8,552,086.20","8,552,086.20","Health Care","FR0000121667","Nyse Euronext - Euronext Paris","France","EUR"
"NXPI","NXP SEMICONDUCTORS NV","Equity","0.44","69.27","122,078.00","8,456,888.73","8,456,888.73","Information Technology","NL0009538784","NASDAQ","Netherlands","USD"
"ERIC B","ERICSSON B","Equity","0.43","7.56","1,101,378.00","8,323,393.99","8,323,393.99","Information Technology","SE0000108656","Nasdaq Omx Nordic","Sweden","SEK"
"VIV","VIVENDI SA","Equity","0.42","21.85","372,018.00","8,128,593.30","8,128,593.30","Communication","FR0000127771","Nyse Euronext - Euronext Paris","France","EUR"
"CRG","CRH PLC","Equity","0.41","26.40","302,634.00","7,989,537.60","7,989,537.60","Materials","IE0001827041","Irish Stock Exchange - All Market","Ireland","EUR"
"URW","WFD UNIBAIL RODAMCO STAPLED UNITS","Equity","0.41","161.96","49,324.00","7,988,515.04","7,988,515.04","Real Estate","FR0013326246","Euronext Amsterdam","France","EUR"
"REP","REPSOL SA","Equity","0.41","16.28","489,981.00","7,976,890.68","7,976,890.68","Energy","ES0173516115","Bolsa De Madrid","Spain","EUR"
"IFX","INFINEON TECHNOLOGIES AG","Equity","0.40","19.02","403,626.00","7,674,948.39","7,674,948.39","Information Technology","DE0006231004","Xetra","Germany","EUR"
"DB1","DEUTSCHE BOERSE AG","Equity","0.40","110.35","69,218.00","7,638,206.30","7,638,206.30","Financials","DE0005810055","Xetra","Germany","EUR"
