Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"OMV","OMV AG","Equity","0.95","49.50","55,572.00","2,750,814.00","2,750,814.00","Energy","AT0000743059","Wiener Boerse Ag","Austria","EUR"
"FGR","EIFFAGE SA","Equity","0.94","90.34","30,217.00","2,729,803.78","2,729,803.78","Industrials","FR0000130452","Nyse Euronext - Euronext Paris","France","EUR"
"SAB","BANCO DE SABADELL SA","Equity","0.93","1.26","2,126,692.00","2,683,885.30","2,683,885.30","Financials","ES0113860A34","Bolsa De Madrid","Spain","EUR"
"HNR1","HANNOVER RUECK","Equity","0.93","118.50","22,615.00","2,679,877.50","2,679,877.50","Financials","DE0008402215","Xetra","Germany","EUR"
"UBI","UBISOFT ENTERTAINMENT SA CAT A","Equity","0.90","88.84","29,415.00","2,613,228.60","2,613,228.60","Communication","FR0000054470","Nyse Euronext - Euronext Paris","France","EUR"
"QIA","QIAGEN NV","Equity","0.90","30.47","85,449.00","2,603,631.03","2,603,631.03","Health Care","NL0012169213","Deutsche Boerse Xetra","Germany","EUR"
"GRF","GRIFOLS SA CLASS A","Equity","0.88","22.76","112,287.00","2,555,652.12","2,555,652.12","Health Care","ES0171996087","Bolsa De Madrid","Spain","EUR"
"AKE","ARKEMA","Equity","0.87","97.06","26,015.00","2,525,015.90","2,525,015.90","Materials","FR0010313833","Nyse Euronext - Euronext Paris","France","EUR"
"SCR","SCOR","Equity","0.87","40.93","61,499.00","2,517,154.07","2,517,154.07","Financials","FR0010411983","Nyse Euronext - Euronext Paris","France","EUR"
"SK3","SMURFIT KAPPA GROUP PLC","Equity","0.87","29.76","84,541.00","2,515,940.16","2,515,940.16","Materials","IE00B1RR8406","Irish Stock Exchange - All Market","Ireland","EUR"
"WRT1V","WARTSILA","Equity","0.86","14.79","167,719.00","2,479,725.42","2,479,725.42","Industrials","FI0009003727","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"PPB","PADDY POWER BETFAIR PLC","Equity","0.83","74.90","32,073.00","2,402,267.70","2,402,267.70","Consumer Discretionary","IE00BWT6H894","Irish Stock Exchange - All Market","Ireland","EUR"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Equity","0.83","4.51","531,477.00","2,398,024.22","2,398,024.22","Utilities","IT0003242622","Borsa Italiana","Italy","EUR"
"BIRG","BANK OF IRELAND GROUP PLC","Equity","0.82","6.42","366,929.00","2,357,518.82","2,357,518.82","Financials","IE00BD1RP616","Irish Stock Exchange - All Market","Ireland","EUR"
"GFC","GECINA REIT SA","Equity","0.80","135.00","17,114.00","2,310,390.00","2,310,390.00","Real Estate","FR0010040865","Nyse Euronext - Euronext Paris","France","EUR"
"ALO","ALSTOM SA","Equity","0.77","38.17","58,489.00","2,232,525.13","2,232,525.13","Industrials","FR0010220475","Nyse Euronext - Euronext Paris","France","EUR"
"AER","AERCAP HOLDINGS NV","Equity","0.76","46.21","47,648.00","2,201,904.19","2,201,904.19","Industrials","NL0000687663","New York Stock Exchange Inc.","Netherlands","USD"
"MONC","MONCLER","Equity","0.72","31.14","66,944.00","2,084,636.16","2,084,636.16","Consumer Discretionary","IT0004965148","Borsa Italiana","Italy","EUR"
"EXO","EXOR NV","Equity","0.71","50.30","40,800.00","2,052,240.00","2,052,240.00","Financials","NL0012059018","Borsa Italiana","Italy","EUR"
"ADP","AEROPORTS DE PARIS","Equity","0.71","182.80","11,194.00","2,046,263.20","2,046,263.20","Industrials","FR0010340141","Nyse Euronext - Euronext Paris","France","EUR"
"UN01","UNIPER","Equity","0.69","26.15","76,378.00","1,997,284.70","1,997,284.70","Utilities","DE000UNSE018","Xetra","Germany","EUR"
"ELISA","ELISA","Equity","0.69","37.19","53,639.00","1,994,834.41","1,994,834.41","Communication","FI0009007884","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"BKT","BANKINTER SA","Equity","0.69","7.85","253,729.00","1,991,772.65","1,991,772.65","Financials","ES0113679I37","Bolsa De Madrid","Spain","EUR"
"RAND","RANDSTAD HOLDING","Equity","0.68","43.75","44,933.00","1,965,818.75","1,965,818.75","Industrials","NL0000379121","Euronext Amsterdam","Netherlands","EUR"
"BVI","BUREAU VERITAS SA","Equity","0.67","19.45","100,166.00","1,947,727.87","1,947,727.87","Industrials","FR0006174348","Nyse Euronext - Euronext Paris","France","EUR"
"LXS","LANXESS AG","Equity","0.66","57.98","32,951.00","1,910,498.98","1,910,498.98","Materials","DE0005470405","Xetra","Germany","EUR"
"GET","GETLINK","Equity","0.65","10.62","176,465.00","1,873,175.98","1,873,175.98","Industrials","FR0010533075","Nyse Euronext - Euronext Paris","France","EUR"
"PSM","PROSIEBEN SAT.1 MEDIA N","Equity","0.64","21.07","87,977.00","1,853,675.39","1,853,675.39","Communication","DE000PSM7770","Xetra","Germany","EUR"
"ERF","EUROFINS SCIENTIFIC","Equity","0.63","422.60","4,309.00","1,820,983.40","1,820,983.40","Health Care","FR0000038259","Nyse Euronext - Euronext Paris","France","EUR"
"SEV","SUEZ SA","Equity","0.63","12.89","141,226.00","1,820,403.14","1,820,403.14","Utilities","FR0010613471","Nyse Euronext - Euronext Paris","France","EUR"
"MB","MEDIOBANCA BANCA DI CREDITO FINANZ","Equity","0.62","7.72","232,293.00","1,792,837.37","1,792,837.37","Financials","IT0000062957","Borsa Italiana","Italy","EUR"
"IPN","IPSEN","Equity","0.62","125.30","14,198.00","1,779,009.40","1,779,009.40","Health Care","FR0010259150","Nyse Euronext - Euronext Paris","France","EUR"
"G1A","GEA GROUP AG","Equity","0.61","26.91","65,727.00","1,768,713.57","1,768,713.57","Industrials","DE0006602006","Xetra","Germany","EUR"
"UTDI","UNITED INTERNET AG","Equity","0.60","37.54","46,547.00","1,747,374.38","1,747,374.38","Communication","DE0005089031","Xetra","Germany","EUR"
"SRT3","SARTORIUS PREF AG","Equity","0.58","125.40","13,478.00","1,690,141.20","1,690,141.20","Health Care","DE0007165631","Xetra","Germany","EUR"
"LHA","DEUTSCHE LUFTHANSA AG","Equity","0.58","18.95","88,816.00","1,682,619.12","1,682,619.12","Industrials","DE0008232125","Xetra","Germany","EUR"
"PRY","PRYSMIAN","Equity","0.57","18.38","90,464.00","1,662,728.32","1,662,728.32","Industrials","IT0004176001","Borsa Italiana","Italy","EUR"
"VOE","VOESTALPINE AG","Equity","0.55","37.00","43,221.00","1,599,177.00","1,599,177.00","Materials","AT0000937503","Wiener Boerse Ag","Austria","EUR"
"ENG","ENAGAS SA","Equity","0.53","22.78","67,338.00","1,533,959.64","1,533,959.64","Energy","ES0130960018","Bolsa De Madrid","Spain","EUR"
"ING","INGENICO GROUP SA","Equity","0.53","68.50","22,289.00","1,526,796.50","1,526,796.50","Information Technology","FR0000125346","Nyse Euronext - Euronext Paris","France","EUR"
"NRE1V","NOKIAN RENKAAT OYJ","Equity","0.51","33.46","43,909.00","1,469,195.14","1,469,195.14","Consumer Discretionary","FI0009005318","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"BOSS","HUGO BOSS N AG","Equity","0.50","61.12","23,893.00","1,460,340.16","1,460,340.16","Consumer Discretionary","DE000A1PHFF7","Xetra","Germany","EUR"
"ETL","EUTELSAT COMMUNICATIONS","Equity","0.50","22.13","65,768.00","1,455,445.84","1,455,445.84","Communication","FR0010221234","Nyse Euronext - Euronext Paris","France","EUR"
"CPR","DAVIDE CAMPARI MILANO","Equity","0.50","6.63","218,259.00","1,447,057.17","1,447,057.17","Consumer Staples","IT0005252207","Borsa Italiana","Italy","EUR"
"ZAL","ZALANDO","Equity","0.50","34.19","41,970.00","1,434,954.30","1,434,954.30","Consumer Discretionary","DE000ZAL1111","Xetra","Germany","EUR"
"RBI","RAIFFEISEN BANK INTERNATIONAL AG","Equity","0.49","25.24","56,273.00","1,420,330.52","1,420,330.52","Financials","AT0000606306","Wiener Boerse Ag","Austria","EUR"
"LDO","LEONARDO FINMECCANICA SPA","Equity","0.49","10.28","137,554.00","1,414,055.12","1,414,055.12","Industrials","IT0003856405","Borsa Italiana","Italy","EUR"
"AMUN","AMUNDI SA","Equity","0.48","60.60","23,025.00","1,395,315.00","1,395,315.00","Financials","FR0004125920","Nyse Euronext - Euronext Paris","France","EUR"
"AM","DASSAULT AVIATION S.A.","Equity","0.47","1,456.00","939.00","1,367,184.00","1,367,184.00","Industrials","FR0000121725","Nyse Euronext - Euronext Paris","France","EUR"
"A5G","AIB GROUP","Equity","0.47","4.42","306,896.00","1,357,707.90","1,357,707.90","Financials","IE00BF0L3536","Irish Stock Exchange - All Market","Ireland","EUR"
"RXL","REXEL SA","Equity","0.46","11.65","114,316.00","1,331,781.40","1,331,781.40","Industrials","FR0010451203","Nyse Euronext - Euronext Paris","France","EUR"
"PUM","PUMA","Equity","0.46","420.00","3,160.00","1,327,200.00","1,327,200.00","Consumer Discretionary","DE0006969603","Xetra","Germany","EUR"
"AND","ANDRITZ AG","Equity","0.45","47.56","27,378.00","1,302,097.68","1,302,097.68","Industrials","AT0000730007","Wiener Boerse Ag","Austria","EUR"
"SDF","K+S AG","Equity","0.45","17.99","72,146.00","1,297,906.54","1,297,906.54","Materials","DE000KSAG888","Xetra","Germany","EUR"
"KGX","KION GROUP AG","Equity","0.45","48.27","26,713.00","1,289,436.51","1,289,436.51","Industrials","DE000KGX8881","Xetra","Germany","EUR"
"PROX","PROXIMUS NV","Equity","0.44","22.38","57,317.00","1,282,754.46","1,282,754.46","Communication","BE0003810273","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"OSR","OSRAM LICHT N AG","Equity","0.44","33.60","37,691.00","1,266,417.60","1,266,417.60","Industrials","DE000LED4000","Xetra","Germany","EUR"
"EO","FAURECIA SA","Equity","0.44","43.74","28,906.00","1,264,348.44","1,264,348.44","Consumer Discretionary","FR0000121147","Nyse Euronext - Euronext Paris","France","EUR"
"DHER","DELIVERY HERO","Equity","0.43","35.92","34,837.00","1,251,345.04","1,251,345.04","Consumer Discretionary","DE000A2E4K43","Xetra","Germany","EUR"
"COV","COVIVIO SA","Equity","0.43","86.90","14,361.00","1,247,970.90","1,247,970.90","Real Estate","FR0000064578","Nyse Euronext - Euronext Paris","France","EUR"
"ORNBV","ORION CLASS B","Equity","0.43","31.52","39,219.00","1,236,182.88","1,236,182.88","Health Care","FI0009014377","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"PST","POSTE ITALIANE","Equity","0.42","6.30","193,821.00","1,220,297.02","1,220,297.02","Financials","IT0003796171","Borsa Italiana","Italy","EUR"
"FPE3","FUCHS PETROLUB PREF","Equity","0.42","46.06","26,181.00","1,205,896.86","1,205,896.86","Materials","DE0005790430","Xetra","Germany","EUR"
"SK","SEB SA","Equity","0.42","141.30","8,510.00","1,202,463.00","1,202,463.00","Consumer Discretionary","FR0000121709","Nyse Euronext - Euronext Paris","France","EUR"
"EUR","EUR CASH","Cash","0.41","100.00","1,194,691.00","1,194,691.21","1,194,691.21","Cash and/or Derivatives","-","-","European Union","EUR"
