Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"VOD","VODAFONE GROUP PLC","Equity","0.62","1.73","15,436,169.00","26,735,229.96","26,735,229.96","Communication","GB00BH4HKS39","London Stock Exchange","United Kingdom","GBP"
"PRU","PRUDENTIAL PLC PLC","Equity","0.61","17.72","1,497,714.00","26,539,054.31","26,539,054.31","Financials","GB0007099541","London Stock Exchange","United Kingdom","GBP"
"AI","AIR LIQUIDE SA","Equity","0.61","106.70","248,429.00","26,507,374.30","26,507,374.30","Materials","FR0000120073","Nyse Euronext - Euronext Paris","France","EUR"
"CS","AXA SA","Equity","0.58","22.52","1,127,100.00","25,376,656.50","25,376,656.50","Financials","FR0000120628","Nyse Euronext - Euronext Paris","France","EUR"
"INGA","ING GROEP NV","Equity","0.56","10.78","2,249,230.00","24,255,696.32","24,255,696.32","Financials","NL0011821202","Euronext Amsterdam","Netherlands","EUR"
"GLEN","GLENCORE PLC","Equity","0.55","3.59","6,670,925.00","23,941,539.89","23,941,539.89","Materials","JE00B4T3BW64","London Stock Exchange","United Kingdom","GBP"
"ZURN","ZURICH INSURANCE GROUP AG","Equity","0.54","265.56","87,810.00","23,319,101.35","23,319,101.35","Financials","CH0011075394","Six Swiss Exchange Ag","Switzerland","CHF"
"DG","VINCI SA","Equity","0.53","78.44","295,214.00","23,156,586.16","23,156,586.16","Industrials","FR0000125486","Nyse Euronext - Euronext Paris","France","EUR"
"ENI","ENI","Equity","0.53","15.58","1,484,879.00","23,140,354.34","23,140,354.34","Energy","IT0003132476","Borsa Italiana","Italy","EUR"
"LINU","LINDE AG","Equity","0.51","207.50","107,259.00","22,256,242.50","22,256,242.50","Materials","DE000A2E4L75","Xetra","Germany","EUR"
"BN","DANONE SA","Equity","0.51","62.22","356,014.00","22,151,191.08","22,151,191.08","Consumer Staples","FR0000120644","Nyse Euronext - Euronext Paris","France","EUR"
"BLT","BHP BILLITON PLC","Equity","0.50","17.91","1,220,873.00","21,871,335.31","21,871,335.31","Materials","GB0000566504","London Stock Exchange","United Kingdom","GBP"
"ADS","ADIDAS N AG","Equity","0.50","201.70","108,364.00","21,857,018.80","21,857,018.80","Consumer Discretionary","DE000A1EWWW0","Xetra","Germany","EUR"
"SAF","SAFRAN SA","Equity","0.49","109.95","194,195.00","21,351,740.25","21,351,740.25","Industrials","FR0000073272","Nyse Euronext - Euronext Paris","France","EUR"
"IBE","IBERDROLA SA","Equity","0.49","6.18","3,445,188.00","21,277,481.09","21,277,481.09","Utilities","ES0144580Y14","Bolsa De Madrid","Spain","EUR"
"ENEL","ENEL","Equity","0.48","4.41","4,715,956.00","20,816,229.78","20,816,229.78","Utilities","IT0003128367","Borsa Italiana","Italy","EUR"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA","Equity","0.47","5.30","3,854,439.00","20,420,817.82","20,420,817.82","Financials","ES0113211835","Bolsa De Madrid","Spain","EUR"
"REL","RELX PLC","Equity","0.46","17.14","1,172,662.00","20,104,620.99","20,104,620.99","Industrials","GB00B2B0DG97","London Stock Exchange","United Kingdom","GBP"
"SU","SCHNEIDER ELECTRIC","Equity","0.46","62.96","315,775.00","19,881,194.00","19,881,194.00","Industrials","FR0000121972","Nyse Euronext - Euronext Paris","France","EUR"
"ABBN","ABB LTD","Equity","0.46","18.50","1,071,615.00","19,824,250.40","19,824,250.40","Industrials","CH0012221716","Six Swiss Exchange Ag","Switzerland","CHF"
"PHIA","KONINKLIJKE PHILIPS NV","Equity","0.45","35.84","543,918.00","19,496,740.71","19,496,740.71","Health Care","NL0000009538","Euronext Amsterdam","Netherlands","EUR"
"EUR","EUR CASH","Cash","0.44","100.00","18,998,901.00","18,998,900.70","18,998,900.70","Cash and/or Derivatives","-","-","European Union","EUR"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Equity","0.44","63.20","299,669.00","18,938,142.00","18,938,142.00","Consumer Discretionary","CH0210483332","Six Swiss Exchange Ag","Switzerland","CHF"
"TEF","TELEFONICA SA","Equity","0.43","6.95","2,701,267.00","18,773,805.65","18,773,805.65","Communication","ES0178430E18","Bolsa De Madrid","Spain","EUR"
"BARC","BARCLAYS PLC","Equity","0.43","1.88","9,888,788.00","18,582,675.91","18,582,675.91","Financials","GB0031348658","London Stock Exchange","United Kingdom","GBP"
"AMS","AMADEUS IT GROUP SA","Equity","0.42","72.66","253,630.00","18,428,755.80","18,428,755.80","Information Technology","ES0109067019","Bolsa De Madrid","Spain","EUR"
"NG.","NATIONAL GRID PLC","Equity","0.41","9.28","1,941,535.00","18,010,103.02","18,010,103.02","Utilities","GB00BDR05C01","London Stock Exchange","United Kingdom","GBP"
"ISP","INTESA SANPAOLO","Equity","0.41","2.05","8,601,336.00","17,602,634.12","17,602,634.12","Financials","IT0000072618","Borsa Italiana","Italy","EUR"
"CSGN","CREDIT SUISSE GROUP AG","Equity","0.40","11.75","1,477,508.00","17,365,578.60","17,365,578.60","Financials","CH0012138530","Six Swiss Exchange Ag","Switzerland","CHF"
"KER","KERING SA","Equity","0.38","378.30","43,867.00","16,594,886.10","16,594,886.10","Consumer Discretionary","FR0000121485","Nyse Euronext - Euronext Paris","France","EUR"
"DPW","DEUTSCHE POST AG","Equity","0.38","28.95","568,241.00","16,450,576.95","16,450,576.95","Industrials","DE0005552004","Xetra","Germany","EUR"
"IMB","IMPERIAL BRANDS PLC","Equity","0.37","29.22","550,080.00","16,073,104.29","16,073,104.29","Consumer Staples","GB0004544929","London Stock Exchange","United Kingdom","GBP"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Equity","0.37","185.80","86,442.00","16,060,923.60","16,060,923.60","Financials","DE0008430026","Xetra","Germany","EUR"
"CPG","COMPASS GROUP PLC","Equity","0.37","17.28","926,632.00","16,013,247.38","16,013,247.38","Consumer Discretionary","GB00BD6K4575","London Stock Exchange","United Kingdom","GBP"
"RI","PERNOD RICARD SA","Equity","0.37","129.90","123,202.00","16,003,939.80","16,003,939.80","Consumer Staples","FR0000120693","Nyse Euronext - Euronext Paris","France","EUR"
"EQNR","EQUINOR","Equity","0.37","23.54","675,294.00","15,897,227.98","15,897,227.98","Energy","NO0010096985","Oslo Bors Asa","Norway","NOK"
"ORA","ORANGE SA","Equity","0.36","13.80","1,148,534.00","15,844,026.53","15,844,026.53","Communication","FR0000133308","Nyse Euronext - Euronext Paris","France","EUR"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Equity","0.36","147.10","107,451.00","15,806,042.10","15,806,042.10","Consumer Discretionary","DE0007664039","Xetra","Germany","EUR"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Equity","0.36","24.71","630,571.00","15,581,409.41","15,581,409.41","Consumer Discretionary","ES0148396007","Bolsa De Madrid","Spain","EUR"
"GLE","SOCIETE GENERALE SA","Equity","0.36","35.15","440,009.00","15,464,116.31","15,464,116.31","Financials","FR0000130809","Nyse Euronext - Euronext Paris","France","EUR"
"NOKIA","NOKIA","Equity","0.35","4.71","3,255,555.00","15,349,941.82","15,349,941.82","Information Technology","FI0009000681","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"GBP","GBP CASH","Cash","0.35","113.92","13,336,770.00","15,192,777.82","15,192,777.82","Cash and/or Derivatives","-","-","United Kingdom","GBP"
"FRE","FRESENIUS SE AND CO KGAA","Equity","0.34","62.82","237,723.00","14,933,758.86","14,933,758.86","Health Care","DE0005785604","Xetra","Germany","EUR"
"NDA SE","NORDEA BANK","Equity","0.33","8.28","1,744,779.00","14,445,146.32","14,445,146.32","Financials","FI4000297767","Nasdaq Omx Nordic","Sweden","SEK"
"BMW","BMW AG","Equity","0.33","75.24","191,089.00","14,377,536.36","14,377,536.36","Consumer Discretionary","DE0005190003","Xetra","Germany","EUR"
"UCG","UNICREDIT","Equity","0.32","12.05","1,168,740.00","14,085,654.48","14,085,654.48","Financials","IT0005239360","Borsa Italiana","Italy","EUR"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Equity","0.32","19.48","720,767.00","14,041,982.69","14,041,982.69","Consumer Staples","NL0011794037","Euronext Amsterdam","Netherlands","EUR"
"SREN","SWISS RE AG","Equity","0.32","78.09","179,721.00","14,033,923.96","14,033,923.96","Financials","CH0126881561","Six Swiss Exchange Ag","Switzerland","CHF"
