iShares MSCI Europe Small-Cap ETF
Inception Date,"Nov 12, 2007"
Fund Holdings as of,"Oct 17, 2018"
Total Net Assets,"212,703,726.64"
Shares Outstanding,"4,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"TREL B","TRELLEBORG B","Equity","0.33","17.96","39,009.00","700,697.86","700,697.86","Industrials","4902384","SE0000114837","Nasdaq Omx Nordic","Sweden","USD","SEK","8.95"
"G24","SCOUT24 N AG","Equity","0.33","39.75","17,514.00","696,246.58","696,246.58","Communication","BYT9340","DE000A12DM80","Xetra","Germany","USD","EUR","0.87"
"GLPG","GALAPAGOS NV","Equity","0.32","103.00","6,703.00","690,439.52","690,439.52","Health Care","B07Q2V5","BE0003818359","Euronext Amsterdam","Belgium","USD","EUR","0.87"
"AMS","AMS AG","Equity","0.32","52.17","13,107.00","683,774.58","683,774.58","Information Technology","BPF0548","AT0000A18XM4","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"STB","STOREBRAND","Equity","0.32","8.98","76,025.00","682,692.00","682,692.00","Financials","4852832","NO0003053605","Oslo Bors Asa","Norway","USD","NOK","8.21"
"HELN","HELVETIA HOLDING AG","Equity","0.32","601.98","1,128.00","679,038.84","679,038.84","Financials","7189292","CH0012271687","SIX Swiss Exchange","Switzerland","USD","CHF","0.99"
"ASC","ASOS PLC","Equity","0.32","76.76","8,795.00","675,061.07","675,061.07","Consumer Discretionary","3092725","GB0030927254","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"RPC","RPC GROUP PLC","Equity","0.32","10.14","66,533.00","674,957.43","674,957.43","Materials","0719737","GB0007197378","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"SSPG","SSP GROUP PLC","Equity","0.31","8.90","75,315.00","670,174.33","670,174.33","Consumer Discretionary","BFWK4V1","GB00BFWK4V16","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"RHM","RHEINMETALL AG","Equity","0.31","92.24","7,148.00","659,302.93","659,302.93","Industrials","5334588","DE0007030009","Xetra","Germany","USD","EUR","0.87"
"DLN","DERWENT LONDON REIT PLC","Equity","0.31","38.23","17,001.00","650,000.49","650,000.49","Real Estate","0265274","GB0002652740","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"FI.N","GEORG FISCHER AG","Equity","0.30","974.26","666.00","648,855.98","648,855.98","Industrials","4341783","CH0001752309","SIX Swiss Exchange","Switzerland","USD","CHF","0.99"
"ELIS","ELIS SA","Equity","0.30","20.00","32,187.00","643,858.53","643,858.53","Industrials","BVSS790","FR0012435121","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"PSPN","PSP SWISS PROPERTY AG","Equity","0.30","95.31","6,751.00","643,438.21","643,438.21","Real Estate","B012877","CH0018294154","SIX Swiss Exchange","Switzerland","USD","CHF","0.99"
"SOBI","SWEDISH ORPHAN BIOVITRUM","Equity","0.30","24.21","26,573.00","643,249.45","643,249.45","Health Care","B1CC9H0","SE0000872095","Nasdaq Omx Nordic","Sweden","USD","SEK","8.95"
"PNN","PENNON GROUP PLC","Equity","0.30","9.34","67,868.00","633,769.98","633,769.98","Utilities","B18V863","GB00B18V8630","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"TATE","TATE AND LYLE PLC","Equity","0.30","8.38","75,378.00","631,431.35","631,431.35","Consumer Staples","0875413","GB0008754136","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"FHZN","FLUGHAFEN ZUERICH AG","Equity","0.29","193.64","3,239.00","627,208.50","627,208.50","Industrials","BYQ8481","CH0319416936","SIX Swiss Exchange","Switzerland","USD","CHF","0.99"
"RBREW","ROYAL UNIBREW","Equity","0.29","74.76","8,317.00","621,819.76","621,819.76","Consumer Staples","BX8ZX20","DK0060634707","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.47"
"ACKB","ACKERMANS & VAN HAAREN NV","Equity","0.29","162.22","3,808.00","617,734.01","617,734.01","Financials","5715774","BE0003764785","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.87"
"AALB","AALBERTS INDUSTRIES NV","Equity","0.29","37.78","16,238.00","613,506.90","613,506.90","Industrials","B1W8P14","NL0000852564","Euronext Amsterdam","Netherlands","USD","EUR","0.87"
"CLNX","CELLNEX TELECOM SA","Equity","0.29","25.01","24,395.00","610,057.61","610,057.61","Communication","BX90C05","ES0105066007","Bolsa De Madrid","Spain","USD","EUR","0.87"
"FEVR","FEVERTREE DRINKS PLC","Equity","0.29","37.87","16,062.00","608,192.80","608,192.80","Consumer Staples","BRJ9BJ2","GB00BRJ9BJ26","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"BEZ","BEAZLEY PLC","Equity","0.29","7.04","86,385.00","608,135.20","608,135.20","Financials","BYQ0JC6","GB00BYQ0JC66","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"IMCD","IMCD NV","Equity","0.28","70.16","8,632.00","605,595.29","605,595.29","Industrials","BNCBD46","NL0010801007","Euronext Amsterdam","Netherlands","USD","EUR","0.87"
"CINE","CINEWORLD GROUP PLC","Equity","0.28","3.87","155,907.00","604,066.35","604,066.35","Communication","B15FWH7","GB00B15FWH70","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"FABG","FABEGE","Equity","0.28","13.97","43,105.00","602,372.15","602,372.15","Real Estate","BFM6T36","SE0011166974","Nasdaq Omx Nordic","Sweden","USD","SEK","8.95"
"TGS","TGS NOPEC GEOPHYSICAL","Equity","0.28","36.00","16,730.00","602,317.11","602,317.11","Energy","B15SLC4","NO0003078800","Oslo Bors Asa","Norway","USD","NOK","8.21"
"ICP","INTERMEDIATE CAPITAL GROUP PLC","Equity","0.28","12.58","47,651.00","599,249.68","599,249.68","Financials","BYT1DJ1","GB00BYT1DJ19","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"HWDN","HOWDEN JOINERY GROUP PLC","Equity","0.28","5.89","100,386.00","591,201.82","591,201.82","Industrials","0557681","GB0005576813","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"SUBC","SUBSEA SA","Equity","0.28","13.78","42,827.00","590,074.69","590,074.69","Energy","5258246","LU0075646355","Oslo Bors Asa","Norway","USD","NOK","8.21"
"IMI","IMI PLC","Equity","0.28","13.40","43,849.00","587,431.02","587,431.02","Industrials","BGLP8L2","GB00BGLP8L22","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"ENX","EURONEXT NV","Equity","0.28","64.80","9,065.00","587,373.84","587,373.84","Financials","BNBNSG0","NL0006294274","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"ECM","ELECTROCOMPONENTS PLC","Equity","0.28","8.18","71,629.00","585,726.69","585,726.69","Information Technology","0309644","GB0003096442","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"HSV","HOMESERVE PLC","Equity","0.27","11.98","48,424.00","580,032.74","580,032.74","Industrials","BYYTFB6","GB00BYYTFB60","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"UBI","UNIONE DI BANCHE ITALIANE","Equity","0.27","3.43","167,632.00","575,175.43","575,175.43","Financials","7622225","IT0003487029","Borsa Italiana","Italy","USD","EUR","0.87"
"ROR","ROTORK PLC","Equity","0.27","4.08","141,102.00","575,058.41","575,058.41","Industrials","BVFNZH2","GB00BVFNZH21","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"KESKOB","KESKO CLASS B","Equity","0.27","53.96","10,631.00","573,628.14","573,628.14","Consumer Staples","4490005","FI0009000202","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.87"
"BBA","BBA AVIATION PLC","Equity","0.26","3.35","167,310.00","561,228.61","561,228.61","Industrials","B1FP891","GB00B1FP8915","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"SPM","SAIPEM","Equity","0.26","5.66","98,787.00","559,573.37","559,573.37","Energy","BDZZRW1","IT0005252140","Borsa Italiana","Italy","USD","EUR","0.87"
"HIK","HIKMA PHARMACEUTICALS PLC","Equity","0.26","23.69","23,540.00","557,750.55","557,750.55","Health Care","B0LCW08","GB00B0LCW083","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"AMBU B","AMBU CLASS B","Equity","0.26","21.13","26,387.00","557,430.19","557,430.19","Health Care","BD9G333","DK0060946788","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.47"
"COB","COBHAM PLC","Equity","0.26","1.42","389,706.00","554,066.65","554,066.65","Industrials","B07KD36","GB00B07KD360","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"GL9","GLANBIA PLC","Equity","0.26","16.52","33,266.00","549,613.32","549,613.32","Consumer Staples","4058629","IE0000669501","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.87"
"ROCK B","ROCKWOOL INTERNATIONAL B","Equity","0.26","367.80","1,481.00","544,708.27","544,708.27","Industrials","4713490","DK0010219153","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.47"
"DIM","SARTORIUS STEDIM BIOTECH SA","Equity","0.25","119.91","4,509.00","540,659.76","540,659.76","Health Care","BYZ2QP5","FR0013154002","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"HUH1V","HUHTAMAKI","Equity","0.25","30.38","17,638.00","535,846.54","535,846.54","Materials","4447476","FI0009000459","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.87"
"BAMI","BANCO BPM","Equity","0.25","2.14","248,790.00","532,264.81","532,264.81","Financials","BYMD5K9","IT0005218380","Borsa Italiana","Italy","USD","EUR","0.87"
"JYSK","JYSKE BANK","Equity","0.25","46.05","11,522.00","530,610.81","530,610.81","Financials","B0386J1","DK0010307958","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.47"
"NIBE B","NIBE INDUSTRIER CLASS B","Equity","0.25","10.60","50,033.00","530,510.76","530,510.76","Industrials","BYYT1T6","SE0008321293","Nasdaq Omx Nordic","Sweden","USD","SEK","8.95"
"SXS","SPECTRIS PLC","Equity","0.25","27.33","19,332.00","528,379.40","528,379.40","Information Technology","0330860","GB0003308607","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"AFX","CARL ZEISS MEDITEC AG","Equity","0.25","80.53","6,560.00","528,300.14","528,300.14","Health Care","5922961","DE0005313704","Xetra","Germany","USD","EUR","0.87"
"SIM","SIMCORP","Equity","0.25","79.05","6,644.00","525,178.84","525,178.84","Information Technology","BBCR9N1","DK0060495240","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.47"
"SBMO","SBM OFFSHORE NV","Equity","0.24","17.99","28,638.00","515,083.64","515,083.64","Energy","B156T57","NL0000360618","Euronext Amsterdam","Netherlands","USD","EUR","0.87"
"SAAB B","SAAB B","Equity","0.24","48.77","10,462.00","510,244.55","510,244.55","Industrials","5469554","SE0000112385","Nasdaq Omx Nordic","Sweden","USD","SEK","8.95"
"QLT","QUILTER PLC","Equity","0.24","1.61","310,966.00","501,624.81","501,624.81","Financials","BDCXV26","GB00BDCXV269","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"SRCG","SUNRISE COMMUNICATIONS GROUP AG","Equity","0.23","91.68","5,445.00","499,214.15","499,214.15","Communication","BVSS671","CH0267291224","SIX Swiss Exchange","Switzerland","USD","CHF","0.99"
"EMG","MAN GROUP PLC","Equity","0.23","1.89","264,444.00","498,752.60","498,752.60","Financials","B83VD95","GB00B83VD954","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"MOR","MORPHOSYS AG","Equity","0.23","96.96","5,143.00","498,681.20","498,681.20","Health Care","5531000","DE0006632003","Xetra","Germany","USD","EUR","0.87"
"MMB","LAGARDERE","Equity","0.23","29.50","16,892.00","498,381.41","498,381.41","Communication","4547213","FR0000130213","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"SOF","SOFINA S.A.","Equity","0.23","196.46","2,529.00","496,854.12","496,854.12","Financials","4820301","BE0003717312","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.87"
"CBG","CLOSE BROS GROUP PLC","Equity","0.23","20.03","24,700.00","494,724.94","494,724.94","Financials","0766807","GB0007668071","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"VCT","VICTREX PLC","Equity","0.23","35.25","14,024.00","494,369.22","494,369.22","Materials","0929224","GB0009292243","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"ISAT","INMARSAT PLC","Equity","0.23","6.59","74,905.00","493,278.46","493,278.46","Communication","B09LSH6","GB00B09LSH68","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"MTRO","METRO BANK PLC","Equity","0.23","34.20","14,303.00","489,175.99","489,175.99","Financials","BZ6STL6","GB00BZ6STL67","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"ABC","ABCAM PLC","Equity","0.23","16.33","29,665.00","484,297.80","484,297.80","Health Care","B677469","GB00B6774699","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"TEG","TAG IMMOBILIEN AG","Equity","0.23","23.17","20,839.00","482,929.13","482,929.13","Real Estate","5735631","DE0008303504","Xetra","Germany","USD","EUR","0.87"
"UTG","UNITE GROUP PLC","Equity","0.23","11.06","43,651.00","482,728.90","482,728.90","Real Estate","0692861","GB0006928617","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"INCH","INCHCAPE PLC","Equity","0.23","7.05","68,125.00","480,035.39","480,035.39","Consumer Discretionary","B61TVQ0","GB00B61TVQ02","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"CPI","CAPITA PLC","Equity","0.22","1.73","275,204.00","476,214.24","476,214.24","Industrials","B23K0M2","GB00B23K0M20","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"HAS","HAYS PLC","Equity","0.22","2.09","227,646.00","475,394.51","475,394.51","Industrials","0416102","GB0004161021","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"FNTN","FREENET AG","Equity","0.22","22.87","20,655.00","472,473.38","472,473.38","Communication","B1SK0S6","DE000A0Z2ZZ5","Xetra","Germany","USD","EUR","0.87"
"IGG","IG GROUP HOLDINGS PLC","Equity","0.22","7.83","59,973.00","469,854.33","469,854.33","Financials","B06QFB7","GB00B06QFB75","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"DPH","DECHRA PHARMACEUTICALS PLC","Equity","0.22","27.84","16,746.00","466,276.96","466,276.96","Health Care","0963318","GB0009633180","London Stock Exchange","United Kingdom","USD","GBP","0.76"
