iShares Core MSCI Europe ETF
Inception Date,"Jun 10, 2014"
Fund Holdings as of,"Oct 17, 2018"
Total Net Assets,"2,529,435,894.14"
Shares Outstanding,"55,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"DTE","DEUTSCHE TELEKOM N AG","Equity","0.55","16.60","837,803.00","13,904,777.83","13,904,777.83","Communication","5842359","DE0005557508","Xetra","Germany","USD","EUR","0.87"
"SHP","SHIRE PLC","Equity","0.54","58.64","232,737.00","13,646,939.66","13,646,939.66","Health Care","B2QKY05","JE00B2QKY057","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"UBSG","UBS GROUP AG","Equity","0.54","14.26","956,640.00","13,638,059.54","13,638,059.54","Financials","BRJL176","CH0244767585","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"LLOY","LLOYDS BANKING GROUP PLC","Equity","0.54","0.75","18,063,777.00","13,599,149.77","13,599,149.77","Financials","0870612","GB0008706128","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"OR","LOREAL SA","Equity","0.54","216.47","62,527.00","13,534,992.25","13,534,992.25","Consumer Staples","4057808","FR0000120321","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"VOD","VODAFONE GROUP PLC","Equity","0.53","2.00","6,708,336.00","13,395,831.62","13,395,831.62","Communication","BH4HKS3","GB00BH4HKS39","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"AI","AIR LIQUIDE SA","Equity","0.53","123.02","108,014.00","13,287,856.90","13,287,856.90","Materials","B1YXBJ7","FR0000120073","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"PRU","PRUDENTIAL PLC PLC","Equity","0.52","20.43","647,980.00","13,238,190.58","13,238,190.58","Financials","0709954","GB0007099541","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"CS","AXA SA","Equity","0.50","25.96","485,967.00","12,615,056.62","12,615,056.62","Financials","7088429","FR0000120628","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"GLEN","GLENCORE PLC","Equity","0.48","4.14","2,923,894.00","12,098,683.62","12,098,683.62","Materials","B4T3BW6","JE00B4T3BW64","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"INGA","ING GROEP NV","Equity","0.48","12.43","972,383.00","12,090,039.24","12,090,039.24","Financials","BZ57390","NL0011821202","Euronext Amsterdam","Netherlands","USD","EUR","0.87"
"ZURN","ZURICH INSURANCE GROUP AG","Equity","0.45","306.18","37,534.00","11,492,199.49","11,492,199.49","Financials","5983816","CH0011075394","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"ENI","ENI","Equity","0.45","17.97","632,138.00","11,357,985.53","11,357,985.53","Energy","7145056","IT0003132476","Borsa Italiana","Italy","USD","EUR","0.87"
"DG","VINCI SA","Equity","0.44","90.44","124,430.00","11,253,125.43","11,253,125.43","Industrials","B1XH026","FR0000125486","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"BN","DANONE SA","Equity","0.44","71.74","155,910.00","11,184,445.35","11,184,445.35","Consumer Staples","B1Y9TB3","FR0000120644","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"ADS","ADIDAS N AG","Equity","0.44","232.55","47,620.00","11,074,031.71","11,074,031.71","Consumer Discretionary","4031976","DE000A1EWWW0","Xetra","Germany","USD","EUR","0.87"
"LINU","LINDE AG","Equity","0.44","239.24","46,202.00","11,053,233.65","11,053,233.65","Materials","BF8K6K8","DE000A2E4L75","Xetra","Germany","USD","EUR","0.87"
"BLT","BHP BILLITON PLC","Equity","0.43","20.65","531,314.00","10,974,040.10","10,974,040.10","Materials","0056650","GB0000566504","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"SAF","SAFRAN SA","Equity","0.42","126.77","84,287.00","10,684,797.70","10,684,797.70","Industrials","B058TZ6","FR0000073272","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"IBE","IBERDROLA SA","Equity","0.42","7.12","1,485,907.00","10,580,577.91","10,580,577.91","Utilities","B288C92","ES0144580Y14","Bolsa De Madrid","Spain","USD","EUR","0.87"
"ENEL","ENEL","Equity","0.41","5.09","2,021,962.00","10,290,009.88","10,290,009.88","Utilities","7144569","IT0003128367","Borsa Italiana","Italy","USD","EUR","0.87"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA","Equity","0.41","6.11","1,683,353.00","10,282,474.12","10,282,474.12","Financials","5501906","ES0113211835","Bolsa De Madrid","Spain","USD","EUR","0.87"
"REL","RELX PLC","Equity","0.40","19.77","508,463.00","10,050,620.33","10,050,620.33","Industrials","B2B0DG9","GB00B2B0DG97","London Stock Exchange","United Kingdom","USD","GBP","0.76"
