iShares MSCI Sweden ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"244,354,540.22"
Shares Outstanding,"7,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"MIC SDB","MILLICOM INTERNATIONAL CELLULAR SD","Equity","1.05","58.58","43,885.00","2,570,904.83","2,570,904.83","Communication","B00L2M8","SE0001174970","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"EPI B","EPIROC CLASS B","Equity","0.99","9.75","246,928.00","2,408,640.56","2,408,640.56","Industrials","BDZV127","SE0011166941","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"ICA","ICA GRUPPEN","Equity","0.83","31.10","65,427.00","2,034,891.96","2,034,891.96","Consumer Staples","B0S1651","SE0000652216","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"LUND B","LUNDBERGFORETAGEN CLASS B","Equity","0.64","31.64","49,494.00","1,566,061.53","1,566,061.53","Financials","4538002","SE0000108847","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"EUR","EUR CASH","Cash","0.24","115.81","515,023.00","596,422.11","596,422.11","Cash and/or Derivatives","-","-","-","European Union","USD","EUR","0.86"
"WFFUT","CASH COLLATERAL SEK WFFUT","Cash Collateral and Margins","0.14","11.24","3,003,800.00","337,756.09","337,756.09","Cash and/or Derivatives","-","-","-","United States","USD","SEK","8.89"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.03","1.00","78,196.00","78,196.25","78,196.25","Cash and/or Derivatives","-","US0669224778","-","United States","USD","USD","1.00"
"QCX8","OMXS30 INDEX NOV 18","Futures","0.00","174.05","242.00","0.00","4,212,101.78","Cash and/or Derivatives","-","SE0011571405","Nasdaq Omx Nordic","-","USD","SEK","8.89"
"USD","USD CASH","Cash","-3.65","100.00","-8,924,069.00","-8,924,068.71","-8,924,068.71","Cash and/or Derivatives","-","-","-","United States","USD","USD","1.00"
 
