iShares MSCI Hong Kong ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"2,338,173,674.28"
Shares Outstanding,"106,125,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"MLCO","MELCO RESORTS ENTERTAINMENT ADR LT","Equity","1.00","18.53","1,265,861.00","23,456,404.33","23,456,404.33","Consumer Discretionary","B1KYHF2","US5854641009","NASDAQ","Hong Kong","USD","USD","1.00"
"20","WHEELOCK AND LTD","Equity","0.94","5.35","4,129,357.00","22,078,037.23","22,078,037.23","Real Estate","6981488","HK0020000177","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"23","BANK OF EAST ASIA LTD","Equity","0.89","3.33","6,229,810.00","20,748,147.00","20,748,147.00","Financials","6075648","HK0023000190","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"1972","SWIRE PROPERTIES LTD","Equity","0.84","3.38","5,837,800.00","19,703,296.65","19,703,296.65","Real Estate","B67C2G0","HK0000063609","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"101","HANG LUNG PROPERTIES LTD","Equity","0.80","1.85","10,083,000.00","18,630,406.74","18,630,406.74","Real Estate","6030506","HK0101000591","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"1128","WYNN MACAU LTD","Equity","0.71","2.14","7,786,000.00","16,671,334.42","16,671,334.42","Consumer Discretionary","B4JSTL6","KYG981491007","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"14","HYSAN DEVELOPMENT LTD","Equity","0.65","4.86","3,145,000.00","15,270,009.89","15,270,009.89","Real Estate","6449629","HK0014000126","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"659","NWS HOLDINGS LTD","Equity","0.65","1.93","7,806,000.00","15,100,514.88","15,100,514.88","Industrials","6568353","BMG668971101","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"522","ASM PACIFIC TECHNOLOGY LTD","Equity","0.63","9.76","1,514,000.00","14,779,213.32","14,779,213.32","Information Technology","6002453","KYG0535Q1331","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"4","WHARF (HOLDINGS) LTD","Equity","0.63","2.41","6,070,150.00","14,654,957.48","14,654,957.48","Real Estate","6435576","HK0004000045","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"D01","DAIRY FARM INTERNATIONAL HOLDINGS","Equity","0.62","8.60","1,693,600.00","14,564,960.00","14,564,960.00","Consumer Staples","6180274","BMG2624N1535","Singapore Exchange","Hong Kong","USD","USD","1.00"
"2638","HK ELECTRIC INVESTMENTS UNITS LTD","Equity","0.57","0.96","13,947,500.00","13,348,167.29","13,348,167.29","Utilities","BJ3WDZ1","HK0000179108","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"8","PCCW LTD","Equity","0.56","0.58","22,499,169.00","13,062,968.57","13,062,968.57","Communication","6574071","HK0008011667","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"425","MINTH GROUP LTD","Equity","0.55","3.45","3,718,000.00","12,833,368.42","12,833,368.42","Consumer Discretionary","B0RJCG9","KYG6145U1094","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"10","HANG LUNG GROUP LTD","Equity","0.47","2.49","4,417,000.00","11,013,261.88","11,013,261.88","Real Estate","6408352","HK0010000088","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
