iShares MSCI Germany ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"2,937,392,107.50"
Shares Outstanding,"102,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"CBK","COMMERZBANK AG","Equity","0.78","10.13","2,256,433.00","22,851,229.25","22,851,229.25","Financials","B90LKT4","DE000CBK1001","Xetra","Germany","USD","EUR","0.86"
"TKA","THYSSENKRUPP AG","Equity","0.78","23.27","981,146.00","22,826,581.96","22,826,581.96","Materials","5636927","DE0007500001","Xetra","Germany","USD","EUR","0.86"
"PAH3","PORSCHE AUTOMOBIL HOLDING PREF","Equity","0.77","66.01","344,863.00","22,764,010.04","22,764,010.04","Consumer Discretionary","7101069","DE000PAH0038","Xetra","Germany","USD","EUR","0.86"
"BNR","BRENNTAG AG","Equity","0.66","55.45","347,933.00","19,291,992.05","19,291,992.05","Industrials","B4YVF56","DE000A1DAHH0","Xetra","Germany","USD","EUR","0.86"
"HNR1","HANNOVER RUECK","Equity","0.63","137.11","135,771.00","18,615,985.42","18,615,985.42","Financials","4511809","DE0008402215","Xetra","Germany","USD","EUR","0.86"
"QIA","QIAGEN NV","Equity","0.61","35.15","508,916.00","17,886,777.77","17,886,777.77","Health Care","BYXS699","NL0012169213","Deutsche Boerse Xetra","Germany","USD","EUR","0.86"
"IGYB","INNOGY Z VERK","Equity","0.47","42.79","321,983.00","13,777,635.67","13,777,635.67","Utilities","BG0SC98","DE000A2LQ2L3","Xetra","Germany","USD","EUR","0.86"
"SHL","SIEMENS HEALTHINEERS AG","Equity","0.47","40.77","336,832.00","13,732,354.42","13,732,354.42","Health Care","BD594Y4","DE000SHL1006","Xetra","Germany","USD","EUR","0.86"
"UN01","UNIPER","Equity","0.46","29.98","452,134.00","13,555,842.93","13,555,842.93","Utilities","BZ6CZ43","DE000UNSE018","Xetra","Germany","USD","EUR","0.86"
"LXS","LANXESS AG","Equity","0.45","68.05","195,817.00","13,324,762.92","13,324,762.92","Materials","B05M8B7","DE0005470405","Xetra","Germany","USD","EUR","0.86"
"EUR","EUR CASH","Cash","0.45","115.81","11,466,552.00","13,278,841.09","13,278,841.09","Cash and/or Derivatives","-","-","-","European Union","USD","EUR","0.86"
"PSM","PROSIEBEN SAT.1 MEDIA N","Equity","0.44","24.76","523,417.00","12,959,338.56","12,959,338.56","Communication","BCZM1B2","DE000PSM7770","Xetra","Germany","USD","EUR","0.86"
"VOW","VOLKSWAGEN AG","Equity","0.42","167.34","72,894.00","12,197,952.57","12,197,952.57","Consumer Discretionary","5497102","DE0007664005","Xetra","Germany","USD","EUR","0.86"
"UTDI","UNITED INTERNET AG","Equity","0.41","43.67","276,966.00","12,095,123.36","12,095,123.36","Communication","4354134","DE0005089031","Xetra","Germany","USD","EUR","0.86"
"G1A","GEA GROUP AG","Equity","0.41","30.69","390,334.00","11,978,696.65","11,978,696.65","Industrials","4557104","DE0006602006","Xetra","Germany","USD","EUR","0.86"
"EVK","EVONIK INDUSTRIES AG","Equity","0.41","32.60","366,229.00","11,938,738.54","11,938,738.54","Materials","B5ZQ9D3","DE000EVNK013","Xetra","Germany","USD","EUR","0.86"
"SRT3","SARTORIUS PREF AG","Equity","0.40","148.69","79,742.00","11,857,126.65","11,857,126.65","Health Care","5843329","DE0007165631","Xetra","Germany","USD","EUR","0.86"
"LHA","DEUTSCHE LUFTHANSA AG","Equity","0.40","21.95","528,633.00","11,603,937.21","11,603,937.21","Industrials","5287488","DE0008232125","Xetra","Germany","USD","EUR","0.86"
"BOSS","HUGO BOSS N AG","Equity","0.35","72.40","142,249.00","10,299,010.53","10,299,010.53","Consumer Discretionary","B88MHC4","DE000A1PHFF7","Xetra","Germany","USD","EUR","0.86"
"ZAL","ZALANDO","Equity","0.33","39.00","250,277.00","9,761,584.87","9,761,584.87","Consumer Discretionary","BQV0SV7","DE000ZAL1111","Xetra","Germany","USD","EUR","0.86"
"BMW3","BMW PREF AG","Equity","0.32","76.08","123,824.00","9,421,010.98","9,421,010.98","Consumer Discretionary","5756030","DE0005190037","Xetra","Germany","USD","EUR","0.86"
"PUM","PUMA","Equity","0.31","488.12","18,684.00","9,119,998.11","9,119,998.11","Consumer Discretionary","5064722","DE0006969603","Xetra","Germany","USD","EUR","0.86"
"KGX","KION GROUP AG","Equity","0.31","57.12","158,993.00","9,080,889.33","9,080,889.33","Industrials","BB22L96","DE000KGX8881","Xetra","Germany","USD","EUR","0.86"
"SDF","K+S AG","Equity","0.31","21.20","428,229.00","9,080,122.97","9,080,122.97","Materials","B54C017","DE000KSAG888","Xetra","Germany","USD","EUR","0.86"
"OSR","OSRAM LICHT N AG","Equity","0.29","38.46","222,991.00","8,575,975.30","8,575,975.30","Industrials","B923935","DE000LED4000","Xetra","Germany","USD","EUR","0.86"
"DHER","DELIVERY HERO","Equity","0.29","40.88","205,940.00","8,418,655.24","8,418,655.24","Consumer Discretionary","BZCNB42","DE000A2E4K43","Xetra","Germany","USD","EUR","0.86"
"MAN","MAN","Equity","0.29","105.85","79,254.00","8,388,700.66","8,388,700.66","Industrials","5563520","DE0005937007","Xetra","Germany","USD","EUR","0.86"
"FPE3","FUCHS PETROLUB PREF","Equity","0.28","53.34","156,603.00","8,353,170.04","8,353,170.04","Materials","4354350","DE0005790430","Xetra","Germany","USD","EUR","0.86"
"SPR","AXEL SPRINGER","Equity","0.26","69.83","109,129.00","7,620,523.36","7,620,523.36","Communication","4647317","DE0005501357","Xetra","Germany","USD","EUR","0.86"
"FRA","FRAPORT FRANKFURT AIRPORT SERVICES","Equity","0.25","78.86","93,761.00","7,394,292.96","7,394,292.96","Industrials","7107551","DE0005773303","Xetra","Germany","USD","EUR","0.86"
"O2D","TELEFONICA DEUTSCHLAND HOLDING AG","Equity","0.24","4.26","1,671,195.00","7,114,263.41","7,114,263.41","Communication","B7VG6L8","DE000A1J5RX9","Xetra","Germany","USD","EUR","0.86"
