Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"RWE","RWE AG","Equity","0.58","17.56","191,132.00","3,356,277.92","3,356,277.92","Utilities","DE0007037129","Xetra","Germany","EUR"
"MRO","MELROSE INDUSTRIES PLC","Equity","0.58","1.87","1,792,387.00","3,355,737.89","3,355,737.89","Industrials","GB00BZ1G4322","London Stock Exchange","United Kingdom","GBP"
"VIE","VEOLIA ENVIRON. SA","Equity","0.58","16.89","198,049.00","3,344,057.37","3,344,057.37","Utilities","FR0000124141","Nyse Euronext - Euronext Paris","France","EUR"
"BAER","JULIUS BAER GRUPPE AG","Equity","0.58","40.16","82,442.00","3,311,049.49","3,311,049.49","Financials","CH0102484968","Six Swiss Exchange Ag","Switzerland","CHF"
"CCL","CARNIVAL PLC","Equity","0.58","49.94","66,295.00","3,310,837.45","3,310,837.45","Consumer Discretionary","GB0031215220","London Stock Exchange","United Kingdom","GBP"
"UMI","UMICORE SA","Equity","0.57","42.51","77,767.00","3,305,875.17","3,305,875.17","Materials","BE0974320526","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"SY1","SYMRISE AG","Equity","0.57","72.60","45,482.00","3,301,993.20","3,301,993.20","Materials","DE000SYM9999","Xetra","Germany","EUR"
"TEP","TELEPERFORMANCE","Equity","0.57","154.40","21,376.00","3,300,454.40","3,300,454.40","Industrials","FR0000051807","Nyse Euronext - Euronext Paris","France","EUR"
"MHG","MARINE HARVEST ASA","Equity","0.57","21.16","154,174.00","3,262,747.82","3,262,747.82","Consumer Staples","NO0003054108","Oslo Bors Asa","Norway","NOK"
"CHR","CHR HANSEN HOLDING","Equity","0.56","88.73","36,313.00","3,222,119.19","3,222,119.19","Materials","DK0060227585","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"IHG","INTERCONTINENTAL HOTELS GROUP PLC","Equity","0.56","47.81","67,348.00","3,219,958.03","3,219,958.03","Consumer Discretionary","GB00BD8QVH41","London Stock Exchange","United Kingdom","GBP"
"CBK","COMMERZBANK AG","Equity","0.56","8.73","368,606.00","3,219,036.20","3,219,036.20","Financials","DE000CBK1001","Xetra","Germany","EUR"
"BNZL","BUNZL","Equity","0.55","25.76","123,873.00","3,190,536.79","3,190,536.79","Industrials","GB00B0744B38","London Stock Exchange","United Kingdom","GBP"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Equity","0.55","33.09","95,031.00","3,144,575.79","3,144,575.79","Industrials","ES0167050915","Bolsa De Madrid","Spain","EUR"
"NXT","NEXT PLC","Equity","0.54","58.96","52,849.00","3,116,144.44","3,116,144.44","Consumer Discretionary","GB0032089863","London Stock Exchange","United Kingdom","GBP"
"ITRK","INTERTEK GROUP PLC","Equity","0.54","51.62","60,083.00","3,101,217.38","3,101,217.38","Industrials","GB0031638363","London Stock Exchange","United Kingdom","GBP"
"SLA","STANDARD LIFE ABERDEEN PLC","Equity","0.53","3.08","987,735.00","3,044,771.98","3,044,771.98","Financials","GB00BVFD7Q58","London Stock Exchange","United Kingdom","GBP"
