Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"MDT","MEDTRONIC PLC","Equity","0.50","97.29","108,740.00","10,579,314.60","10,579,314.60","Health Care","IE00BTN1Y115","New York Stock Exchange Inc.","United States","USD"
"USD","USD CASH","Cash","0.50","100.00","10,540,367.00","10,540,367.34","10,540,367.34","Cash and/or Derivatives","-","-","United States","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.50","84.56","123,866.00","10,474,108.96","10,474,108.96","Consumer Staples","US7181721090","New York Stock Exchange Inc.","United States","USD"
"ADBE","ADOBE INC","Equity","0.48","258.91","39,560.00","10,242,479.60","10,242,479.60","Information Technology","US00724F1012","NASDAQ","United States","USD"
"ABT","ABBOTT LABORATORIES","Equity","0.47","70.23","140,990.00","9,901,727.70","9,901,727.70","Health Care","US0028241000","New York Stock Exchange Inc.","United States","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.47","134.05","73,584.00","9,863,935.20","9,863,935.20","Information Technology","US4592001014","New York Stock Exchange Inc.","United States","USD"
"MMM","3M","Equity","0.46","202.93","47,634.00","9,666,367.62","9,666,367.62","Industrials","US88579Y1010","New York Stock Exchange Inc.","United States","USD"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.45","158.05","60,072.00","9,494,379.60","9,494,379.60","Industrials","US4385161066","New York Stock Exchange Inc.","United States","USD"
"UNP","UNION PACIFIC CORP","Equity","0.44","149.89","62,030.00","9,297,676.70","9,297,676.70","Industrials","US9078181081","New York Stock Exchange Inc.","United States","USD"
"MO","ALTRIA GROUP INC","Equity","0.44","60.62","152,046.00","9,217,028.52","9,217,028.52","Consumer Staples","US02209S1033","New York Stock Exchange Inc.","United States","USD"
"LLY","ELI LILLY","Equity","0.42","113.59","78,751.00","8,945,326.09","8,945,326.09","Health Care","US5324571083","New York Stock Exchange Inc.","United States","USD"
"RY","ROYAL BANK OF CANADA","Equity","0.42","76.89","115,189.00","8,856,535.72","8,856,535.72","Financials","CA7800871021","Toronto Stock Exchange","Canada","CAD"
"TD","TORONTO DOMINION","Equity","0.40","57.68","146,573.00","8,453,858.58","8,453,858.58","Financials","CA8911605092","Toronto Stock Exchange","Canada","CAD"
"GE","GENERAL ELECTRIC","Equity","0.40","12.19","690,927.00","8,422,400.13","8,422,400.13","Industrials","US3696041033","New York Stock Exchange Inc.","United States","USD"
"CRM","SALESFORCE.COM INC","Equity","0.39","147.01","56,594.00","8,319,883.94","8,319,883.94","Information Technology","US79466L3024","New York Stock Exchange Inc.","United States","USD"
"ACN","ACCENTURE PLC CLASS A","Equity","0.39","158.90","51,642.00","8,205,913.80","8,205,913.80","Information Technology","IE00B4BNMY34","New York Stock Exchange Inc.","United States","USD"
"TXN","TEXAS INSTRUMENT INC","Equity","0.38","101.54","79,498.00","8,072,226.92","8,072,226.92","Information Technology","US8825081040","NASDAQ","United States","USD"
"COST","COSTCO WHOLESALE CORP","Equity","0.38","228.49","34,995.00","7,996,007.55","7,996,007.55","Consumer Staples","US22160K1051","NASDAQ","United States","USD"
"NKE","NIKE INC CLASS B","Equity","0.38","76.48","103,820.00","7,940,153.60","7,940,153.60","Consumer Discretionary","US6541061031","New York Stock Exchange Inc.","United States","USD"
"GILD","GILEAD SCIENCES INC","Equity","0.37","75.62","104,332.00","7,889,585.84","7,889,585.84","Health Care","US3755581036","NASDAQ","United States","USD"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.37","130.07","60,364.00","7,851,545.48","7,851,545.48","Industrials","US9130171096","New York Stock Exchange Inc.","United States","USD"
"AVGO","BROADCOM INC","Equity","0.36","237.17","32,513.00","7,711,108.21","7,711,108.21","Information Technology","US11135F1012","NASDAQ","United States","USD"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.36","58.90","129,536.00","7,629,670.40","7,629,670.40","Health Care","US1101221083","New York Stock Exchange Inc.","United States","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.36","234.65","31,993.00","7,507,157.45","7,507,157.45","Health Care","US8835561023","New York Stock Exchange Inc.","United States","USD"
"QCOM","QUALCOMM INC","Equity","0.35","66.10","112,938.00","7,465,201.80","7,465,201.80","Information Technology","US7475251036","NASDAQ","United States","USD"
"PYPL","PAYPAL HOLDINGS INC","Equity","0.34","80.09","90,861.00","7,277,057.49","7,277,057.49","Information Technology","US70450Y1038","NASDAQ","United States","USD"
"BKNG","BOOKING HOLDINGS INC","Equity","0.34","1,850.51","3,837.00","7,100,406.87","7,100,406.87","Consumer Discretionary","US09857L1089","NASDAQ","United States","USD"
"LMT","LOCKHEED MARTIN CORP","Equity","0.33","333.40","20,726.00","6,910,048.40","6,910,048.40","Industrials","US5398301094","New York Stock Exchange Inc.","United States","USD"
"COP","CONOCOPHILLIPS","Equity","0.32","72.48","93,829.00","6,800,725.92","6,800,725.92","Energy","US20825C1045","New York Stock Exchange Inc.","United States","USD"
"CAT","CATERPILLAR INC","Equity","0.32","141.34","48,087.00","6,796,616.58","6,796,616.58","Industrials","US1491231015","New York Stock Exchange Inc.","United States","USD"
"LOW","LOWES COMPANIES INC","Equity","0.32","102.44","65,820.00","6,742,600.80","6,742,600.80","Consumer Discretionary","US5486611073","New York Stock Exchange Inc.","United States","USD"
"SBUX","STARBUCKS CORP","Equity","0.31","59.10","112,280.00","6,635,748.00","6,635,748.00","Consumer Discretionary","US8552441094","NASDAQ","United States","USD"
"USB","US BANCORP","Equity","0.31","52.90","125,355.00","6,631,279.50","6,631,279.50","Financials","US9029733048","New York Stock Exchange Inc.","United States","USD"
"SLB","SCHLUMBERGER NV","Equity","0.31","59.24","111,409.00","6,599,869.16","6,599,869.16","Energy","AN8068571086","New York Stock Exchange Inc.","United States","USD"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.31","228.28","28,596.00","6,527,894.88","6,527,894.88","Financials","US38141G1040","New York Stock Exchange Inc.","United States","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.31","118.01","54,691.00","6,454,084.91","6,454,084.91","Industrials","US9113121068","New York Stock Exchange Inc.","United States","USD"
"NEE","NEXTERA ENERGY INC","Equity","0.30","170.82","37,334.00","6,377,393.88","6,377,393.88","Utilities","US65339F1012","New York Stock Exchange Inc.","United States","USD"
"AXP","AMERICAN EXPRESS","Equity","0.29","104.34","58,413.00","6,094,812.42","6,094,812.42","Financials","US0258161092","New York Stock Exchange Inc.","United States","USD"
"CVS","CVS HEALTH CORP","Equity","0.29","74.36","81,227.00","6,040,039.72","6,040,039.72","Health Care","US1266501006","New York Stock Exchange Inc.","United States","USD"
