"Fund Holdings as of,""17/Oct/2018"""
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"DIM,""SARTORIUS STEDIM BIOTECH SA"",""Equity"",""0.59"",""104.00"",""46,460.00"",""4,831,840.00"",""4,831,840.00"",""Health Care"",""FR0013154002"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"AFX,""CARL ZEISS MEDITEC AG"",""Equity"",""0.59"",""69.85"",""68,576.00"",""4,790,033.60"",""4,790,033.60"",""Health Care"",""DE0005313704"",""Xetra"",""Germany"",""EUR"""
"HUH1V,""HUHTAMAKI"",""Equity"",""0.58"",""26.35"",""180,963.00"",""4,768,375.05"",""4,768,375.05"",""Materials"",""FI0009000459"",""Nasdaq Omx Helsinki Ltd."",""Finland"",""EUR"""
"BAMI,""BANCO BPM"",""Equity"",""0.58"",""1.86"",""2,544,435.00"",""4,721,453.59"",""4,721,453.59"",""Financials"",""IT0005218380"",""Borsa Italiana"",""Italy"",""EUR"""
"SBMO,""SBM OFFSHORE NV"",""Equity"",""0.56"",""15.60"",""293,574.00"",""4,579,754.40"",""4,579,754.40"",""Energy"",""NL0000360618"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"MMB,""LAGARDERE"",""Equity"",""0.56"",""25.59"",""178,959.00"",""4,579,560.81"",""4,579,560.81"",""Communication"",""FR0000130213"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"MOR,""MORPHOSYS AG"",""Equity"",""0.55"",""84.10"",""53,666.00"",""4,513,310.60"",""4,513,310.60"",""Health Care"",""DE0006632003"",""Xetra"",""Germany"",""EUR"""
"SOF,""SOFINA S.A."",""Equity"",""0.55"",""170.40"",""26,281.00"",""4,478,282.40"",""4,478,282.40"",""Financials"",""BE0003717312"",""Nyse Euronext - Euronext Brussels"",""Belgium"",""EUR"""
"FNTN,""FREENET AG"",""Equity"",""0.52"",""19.84"",""215,058.00"",""4,266,750.72"",""4,266,750.72"",""Communication"",""DE000A0Z2ZZ5"",""Xetra"",""Germany"",""EUR"""
"GYC,""GRAND CITY PROPERTIES SA"",""Equity"",""0.52"",""21.62"",""196,673.00"",""4,252,070.26"",""4,252,070.26"",""Real Estate"",""LU0775917882"",""Xetra"",""Germany"",""EUR"""
"TEG,""TAG IMMOBILIEN AG"",""Equity"",""0.52"",""20.10"",""209,095.00"",""4,202,809.50"",""4,202,809.50"",""Real Estate"",""DE0008303504"",""Xetra"",""Germany"",""EUR"""
"LIGHT,""SIGNIFY NV"",""Equity"",""0.50"",""21.71"",""188,332.00"",""4,088,687.72"",""4,088,687.72"",""Industrials"",""NL0011821392"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"WIE,""WIENERBERGER AG"",""Equity"",""0.50"",""20.70"",""197,350.00"",""4,085,145.00"",""4,085,145.00"",""Materials"",""AT0000831706"",""Wiener Boerse Ag"",""Austria"",""EUR"""
"NEM,""NEMETSCHEK"",""Equity"",""0.50"",""123.90"",""32,826.00"",""4,067,141.40"",""4,067,141.40"",""Information Technology"",""DE0006452907"",""Xetra"",""Germany"",""EUR"""
"VALMT,""VALMET"",""Equity"",""0.50"",""19.01"",""213,927.00"",""4,066,752.27"",""4,066,752.27"",""Industrials"",""FI4000074984"",""Nasdaq Omx Helsinki Ltd."",""Finland"",""EUR"""
"BC8,""BECHTLE AG"",""Equity"",""0.50"",""82.30"",""49,396.00"",""4,065,290.80"",""4,065,290.80"",""Information Technology"",""DE0005158703"",""Xetra"",""Germany"",""EUR"""
"VIS,""VISCOFAN S.A."",""Equity"",""0.50"",""60.10"",""67,491.00"",""4,056,209.10"",""4,056,209.10"",""Consumer Staples"",""ES0184262212"",""Bolsa De Madrid"",""Spain"",""EUR"""
"COFB,""COFINIMMO REIT SA"",""Equity"",""0.49"",""106.20"",""37,449.00"",""3,977,083.80"",""3,977,083.80"",""Real Estate"",""BE0003593044"",""Nyse Euronext - Euronext Brussels"",""Belgium"",""EUR"""
"ATE,""ALTEN SA"",""Equity"",""0.48"",""81.45"",""48,285.00"",""3,932,813.25"",""3,932,813.25"",""Information Technology"",""FR0000071946"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"A2A,""A2A"",""Equity"",""0.47"",""1.45"",""2,677,161.00"",""3,868,497.65"",""3,868,497.65"",""Utilities"",""IT0001233417"",""Borsa Italiana"",""Italy"",""EUR"""
"COL,""INMOBILIARIA COLONIAL SA"",""Equity"",""0.46"",""8.65"",""436,779.00"",""3,780,322.24"",""3,780,322.24"",""Real Estate"",""ES0139140174"",""Bolsa De Madrid"",""Spain"",""EUR"""
"IG,""ITALGAS"",""Equity"",""0.46"",""4.48"",""829,862.00"",""3,720,271.35"",""3,720,271.35"",""Utilities"",""IT0005211237"",""Borsa Italiana"",""Italy"",""EUR"""
"EVT,""EVOTEC AG"",""Equity"",""0.45"",""17.34"",""213,764.00"",""3,705,598.94"",""3,705,598.94"",""Health Care"",""DE0005664809"",""Xetra"",""Germany"",""EUR"""
"GLJ,""GRENKE N AG"",""Equity"",""0.45"",""90.40"",""40,912.00"",""3,698,444.80"",""3,698,444.80"",""Financials"",""DE000A161N30"",""Xetra"",""Germany"",""EUR"""
"BOKA,""KONINKLIJKE BOSKALIS WESTMINSTER N"",""Equity"",""0.44"",""24.91"",""145,585.00"",""3,626,522.35"",""3,626,522.35"",""Industrials"",""NL0000852580"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"NDA,""AURUBIS AG"",""Equity"",""0.44"",""55.98"",""64,167.00"",""3,592,068.66"",""3,592,068.66"",""Materials"",""DE0006766504"",""Xetra"",""Germany"",""EUR"""
"BCP,""BANCO COMERCIAL PORTUGUES SA"",""Equity"",""0.44"",""0.23"",""15,228,867.00"",""3,571,169.31"",""3,571,169.31"",""Financials"",""PTBCP0AM0015"",""Nyse Euronext - Euronext Lisbon"",""Portugal"",""EUR"""
"WAF,""SILTRONIC N AG"",""Equity"",""0.44"",""99.24"",""35,809.00"",""3,553,685.16"",""3,553,685.16"",""Information Technology"",""DE000WAF3001"",""Xetra"",""Germany"",""EUR"""
"TLG,""TLG IMMOBILEN AG"",""Equity"",""0.42"",""22.38"",""154,226.00"",""3,451,577.88"",""3,451,577.88"",""Real Estate"",""DE000A12B8Z4"",""Xetra"",""Germany"",""EUR"""
"SAZ,""STADA ARZNEIMITTEL AG"",""Equity"",""0.42"",""81.72"",""42,168.00"",""3,445,968.96"",""3,445,968.96"",""Health Care"",""DE0007251803"",""Xetra"",""Germany"",""EUR"""
"RAA,""RATIONAL AG"",""Equity"",""0.42"",""598.00"",""5,736.00"",""3,430,128.00"",""3,430,128.00"",""Industrials"",""DE0007010803"",""Xetra"",""Germany"",""EUR"""
"OCI,""OCI NV"",""Equity"",""0.42"",""27.44"",""124,076.00"",""3,404,645.44"",""3,404,645.44"",""Materials"",""NL0010558797"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"EVD,""CTS EVENTIM AG"",""Equity"",""0.41"",""34.90"",""96,735.00"",""3,376,051.50"",""3,376,051.50"",""Communication"",""DE0005470306"",""Xetra"",""Germany"",""EUR"""
"ARL,""AAREAL BANK AG"",""Equity"",""0.41"",""34.79"",""96,223.00"",""3,347,598.17"",""3,347,598.17"",""Financials"",""DE0005408116"",""Xetra"",""Germany"",""EUR"""
"BME,""BOLSAS & MERCADOS ESPANOLES SA"",""Equity"",""0.41"",""25.94"",""128,254.00"",""3,326,908.76"",""3,326,908.76"",""Financials"",""ES0115056139"",""Bolsa De Madrid"",""Spain"",""EUR"""
"HER,""HERA S.P.A."",""Equity"",""0.41"",""2.42"",""1,375,781.00"",""3,326,638.46"",""3,326,638.46"",""Utilities"",""IT0001250932"",""Borsa Italiana"",""Italy"",""EUR"""
"ASM,""ASM INTERNATIONAL NV"",""Equity"",""0.40"",""42.05"",""78,468.00"",""3,299,579.40"",""3,299,579.40"",""Information Technology"",""NL0000334118"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"AOX,""ALSTRIA OFFICE REIT AG"",""Equity"",""0.40"",""12.96"",""254,032.00"",""3,292,254.72"",""3,292,254.72"",""Real Estate"",""DE000A0LD2U1"",""Xetra"",""Germany"",""EUR"""
"IP,""INTERPUMP GROUP S.P.A."",""Equity"",""0.40"",""25.60"",""127,604.00"",""3,266,662.40"",""3,266,662.40"",""Industrials"",""IT0001078911"",""Borsa Italiana"",""Italy"",""EUR"""
"GXI,""GERRESHEIMER AG"",""Equity"",""0.40"",""60.25"",""53,700.00"",""3,235,425.00"",""3,235,425.00"",""Health Care"",""DE000A0LD6E6"",""Xetra"",""Germany"",""EUR"""
"CAI,""CA IMMOBILIEN ANLAGEN AG"",""Equity"",""0.39"",""29.66"",""107,881.00"",""3,199,750.46"",""3,199,750.46"",""Real Estate"",""AT0000641352"",""Wiener Boerse Ag"",""Austria"",""EUR"""
"WDP,""WAREHOUSES DE PAUW REIT"",""Equity"",""0.39"",""111.60"",""28,628.00"",""3,194,884.80"",""3,194,884.80"",""Real Estate"",""BE0003763779"",""Nyse Euronext - Euronext Brussels"",""Belgium"",""EUR"""
"KCR,""KONECRANES"",""Equity"",""0.39"",""28.30"",""112,665.00"",""3,188,419.50"",""3,188,419.50"",""Industrials"",""FI0009005870"",""Nasdaq Omx Helsinki Ltd."",""Finland"",""EUR"""
"APAM,""APERAM SA"",""Equity"",""0.39"",""36.92"",""86,140.00"",""3,180,288.80"",""3,180,288.80"",""Materials"",""LU0569974404"",""Euronext Amsterdam"",""France"",""EUR"""
"IIA,""IMMOFINANZ AG"",""Equity"",""0.39"",""21.18"",""149,566.00"",""3,167,807.88"",""3,167,807.88"",""Real Estate"",""AT0000A21KS2"",""Wiener Boerse Ag"",""Austria"",""EUR"""
"ACX,""ACERINOX SA"",""Equity"",""0.39"",""11.40"",""277,435.00"",""3,161,371.82"",""3,161,371.82"",""Materials"",""ES0132105018"",""Bolsa De Madrid"",""Spain"",""EUR"""
"DIA,""DIASORIN S.P.A."",""Equity"",""0.38"",""81.60"",""38,408.00"",""3,134,092.80"",""3,134,092.80"",""Health Care"",""IT0003492391"",""Borsa Italiana"",""Italy"",""EUR"""
"NXI,""NEXITY SA"",""Equity"",""0.38"",""43.76"",""71,022.00"",""3,107,922.72"",""3,107,922.72"",""Real Estate"",""FR0010112524"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"RKET,""ROCKET INTERNET"",""Equity"",""0.38"",""26.16"",""117,212.00"",""3,066,265.92"",""3,066,265.92"",""Consumer Discretionary"",""DE000A12UKK6"",""Xetra"",""Germany"",""EUR"""
"SOP,""SOPRA STERIA GROUP"",""Equity"",""0.37"",""123.80"",""24,656.00"",""3,052,412.80"",""3,052,412.80"",""Information Technology"",""FR0000050809"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"ALT,""ALTRAN TECHNOLOGIES SA"",""Equity"",""0.37"",""7.75"",""390,748.00"",""3,030,250.74"",""3,030,250.74"",""Information Technology"",""FR0000034639"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"WLN,""WORLDLINE SA"",""Equity"",""0.37"",""45.46"",""66,582.00"",""3,026,817.72"",""3,026,817.72"",""Information Technology"",""FR0011981968"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"SOW,""SOFTWARE AG"",""Equity"",""0.37"",""36.82"",""81,133.00"",""2,987,317.06"",""2,987,317.06"",""Information Technology"",""DE000A2GS401"",""Xetra"",""Germany"",""EUR"""
"TWEKA,""TKH GROUP NV"",""Equity"",""0.37"",""46.00"",""64,726.00"",""2,977,396.00"",""2,977,396.00"",""Industrials"",""NL0000852523"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"ANA,""ACCIONA SA"",""Equity"",""0.36"",""75.24"",""39,210.00"",""2,950,160.40"",""2,950,160.40"",""Utilities"",""ES0125220311"",""Bolsa De Madrid"",""Spain"",""EUR"""
"SPIE,""SPIE SA"",""Equity"",""0.36"",""15.15"",""194,036.00"",""2,939,645.40"",""2,939,645.40"",""Industrials"",""FR0012757854"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"DLG,""DELONGHI S.P.A."",""Equity"",""0.36"",""25.40"",""115,553.00"",""2,935,046.20"",""2,935,046.20"",""Consumer Discretionary"",""IT0003115950"",""Borsa Italiana"",""Italy"",""EUR"""
"KBCA,""KBC ANCORA"",""Equity"",""0.35"",""43.16"",""65,749.00"",""2,837,726.84"",""2,837,726.84"",""Financials"",""BE0003867844"",""Nyse Euronext - Euronext Brussels"",""Belgium"",""EUR"""
