Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"BKI","BLACK KNIGHT INC","Equity","0.20","48.53","26,102.00","1,266,730.06","1,266,730.06","Information Technology","US09215C1053","New York Stock Exchange Inc.","United States","USD"
"DCI","DONALDSON INC","Equity","0.20","53.32","23,728.00","1,265,176.96","1,265,176.96","Industrials","US2576511099","New York Stock Exchange Inc.","United States","USD"
"WPC","W. P. CAREY REIT INC","Equity","0.20","64.69","19,411.00","1,255,697.59","1,255,697.59","Real Estate","US92936U1097","New York Stock Exchange Inc.","United States","USD"
"GLPI","GAMING AND LEISURE PROPERTIES REIT","Equity","0.19","34.69","36,143.00","1,253,800.67","1,253,800.67","Real Estate","US36467J1088","NASDAQ","United States","USD"
"KRC","KILROY REALTY REIT CORP","Equity","0.19","71.13","17,614.00","1,252,883.82","1,252,883.82","Real Estate","US49427F1084","New York Stock Exchange Inc.","United States","USD"
"AA","ALCOA CORP","Equity","0.19","36.70","33,684.00","1,236,202.80","1,236,202.80","Materials","US0138721065","New York Stock Exchange Inc.","United States","USD"
"TECH","BIO TECHNE CORP","Equity","0.19","183.11","6,749.00","1,235,809.39","1,235,809.39","Health Care","US09073M1045","NASDAQ","United States","USD"
"PAYC","PAYCOM SOFTWARE INC","Equity","0.19","136.51","8,988.00","1,226,951.88","1,226,951.88","Information Technology","US70432V1026","New York Stock Exchange Inc.","United States","USD"
"TER","TERADYNE INC","Equity","0.19","34.14","35,644.00","1,216,886.16","1,216,886.16","Information Technology","US8807701029","New York Stock Exchange Inc.","United States","USD"
"ZEN","ZENDESK INC","Equity","0.19","62.96","19,314.00","1,216,009.44","1,216,009.44","Information Technology","US98936J1016","New York Stock Exchange Inc.","United States","USD"
"BLUE","BLUEBIRD BIO INC","Equity","0.19","126.77","9,579.00","1,214,329.83","1,214,329.83","Health Care","US09609G1004","NASDAQ","United States","USD"
"FIVE","FIVE BELOW INC","Equity","0.19","118.06","10,263.00","1,211,649.78","1,211,649.78","Consumer Discretionary","US33829M1018","NASDAQ","United States","USD"
"USFD","US FOODS HOLDING CORP","Equity","0.19","29.88","40,312.00","1,204,522.56","1,204,522.56","Consumer Staples","US9120081099","New York Stock Exchange Inc.","United States","USD"
"AIV","APARTMENT INVESTMENT AND MANAGEMEN","Equity","0.19","42.84","28,102.00","1,203,889.68","1,203,889.68","Real Estate","US03748R1014","New York Stock Exchange Inc.","United States","USD"
"HUBB","HUBBELL INC","Equity","0.19","123.99","9,701.00","1,202,826.99","1,202,826.99","Industrials","US4435106079","New York Stock Exchange Inc.","United States","USD"
"GGG","GRACO INC","Equity","0.19","40.39","29,732.00","1,200,875.48","1,200,875.48","Industrials","US3841091040","New York Stock Exchange Inc.","United States","USD"
"BRO","BROWN & BROWN INC","Equity","0.19","28.48","42,048.00","1,197,527.04","1,197,527.04","Financials","US1152361010","New York Stock Exchange Inc.","United States","USD"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.18","33.12","35,852.00","1,187,418.24","1,187,418.24","Real Estate","US6819361006","New York Stock Exchange Inc.","United States","USD"
"NDSN","NORDSON CORP","Equity","0.18","128.44","9,230.00","1,185,501.20","1,185,501.20","Industrials","US6556631025","NASDAQ","United States","USD"
"CSL","CARLISLE COMPANIES INC","Equity","0.18","108.41","10,866.00","1,177,983.06","1,177,983.06","Industrials","US1423391002","New York Stock Exchange Inc.","United States","USD"
"POST","POST HOLDINGS INC","Equity","0.18","95.95","12,246.00","1,175,003.70","1,175,003.70","Consumer Staples","US7374461041","New York Stock Exchange Inc.","United States","USD"
"HLF","HERBALIFE NUTRITION LTD","Equity","0.18","54.82","21,326.00","1,169,091.32","1,169,091.32","Consumer Staples","KYG4412G1010","New York Stock Exchange Inc.","United States","USD"
"ATR","APTARGROUP INC","Equity","0.18","105.02","11,112.00","1,166,982.24","1,166,982.24","Materials","US0383361039","New York Stock Exchange Inc.","United States","USD"
"WTR","AQUA AMERICA INC","Equity","0.18","37.13","31,378.00","1,165,065.14","1,165,065.14","Utilities","US03836W1036","New York Stock Exchange Inc.","United States","USD"
"IDTI","INTEGRATED DEVICE TECHNOLOGY INC","Equity","0.18","46.95","24,711.00","1,160,181.45","1,160,181.45","Information Technology","US4581181066","NASDAQ","United States","USD"
"FICO","FAIR ISAAC CORP","Equity","0.18","212.76","5,398.00","1,148,478.48","1,148,478.48","Information Technology","US3032501047","New York Stock Exchange Inc.","United States","USD"
"SERV","SERVICEMASTER GLOBAL HOLDINGS INC","Equity","0.18","44.89","25,242.00","1,133,113.38","1,133,113.38","Consumer Discretionary","US81761R1095","New York Stock Exchange Inc.","United States","USD"
"CONE","CYRUSONE REIT INC","Equity","0.17","61.84","18,205.00","1,125,797.20","1,125,797.20","Real Estate","US23283R1005","NASDAQ","United States","USD"
"BFAM","BRIGHT HORIZONS FAMILY SOLUTIONS I","Equity","0.17","114.86","9,773.00","1,122,526.78","1,122,526.78","Consumer Discretionary","US1091941005","New York Stock Exchange Inc.","United States","USD"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Equity","0.17","127.25","8,815.00","1,121,708.75","1,121,708.75","Health Care","US1598641074","New York Stock Exchange Inc.","United States","USD"
"TTC","TORO","Equity","0.17","57.50","19,471.00","1,119,582.50","1,119,582.50","Industrials","US8910921084","New York Stock Exchange Inc.","United States","USD"
"EPAM","EPAM SYSTEMS INC","Equity","0.17","123.10","9,075.00","1,117,132.50","1,117,132.50","Information Technology","US29414B1044","New York Stock Exchange Inc.","United States","USD"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.17","73.67","15,121.00","1,113,964.07","1,113,964.07","Real Estate","US5128161099","NASDAQ","United States","USD"
"CFR","CULLEN FROST BANKERS INC","Equity","0.17","100.47","11,036.00","1,108,786.92","1,108,786.92","Financials","US2298991090","New York Stock Exchange Inc.","United States","USD"
"HAE","HAEMONETICS CORP","Equity","0.17","110.59","9,885.00","1,093,182.15","1,093,182.15","Health Care","US4050241003","New York Stock Exchange Inc.","United States","USD"
"EEFT","EURONET WORLDWIDE INC","Equity","0.17","115.60","9,438.00","1,091,032.80","1,091,032.80","Information Technology","US2987361092","NASDAQ","United States","USD"
"DNKN","DUNKIN BRANDS GROUP INC","Equity","0.17","74.41","14,652.00","1,090,255.32","1,090,255.32","Consumer Discretionary","US2655041000","NASDAQ","United States","USD"
"ALSN","ALLISON TRANSMISSION HOLDINGS INC","Equity","0.17","48.91","22,233.00","1,087,416.03","1,087,416.03","Industrials","US01973R1014","New York Stock Exchange Inc.","United States","USD"
"FL","FOOT LOCKER INC","Equity","0.17","48.98","22,100.00","1,082,568.50","1,082,568.50","Consumer Discretionary","US3448491049","New York Stock Exchange Inc.","United States","USD"
"CZR","CAESARS ENTERTAINMENT CORP","Equity","0.17","10.20","106,020.00","1,081,404.00","1,081,404.00","Consumer Discretionary","US1276861036","NASDAQ","United States","USD"
"CBSH","COMMERCE BANCSHARES INC","Equity","0.17","63.56","16,952.00","1,077,469.12","1,077,469.12","Financials","US2005251036","NASDAQ","United States","USD"
"IONS","IONIS PHARMACEUTICALS INC","Equity","0.17","47.34","22,741.00","1,076,558.94","1,076,558.94","Health Care","US4622221004","NASDAQ","United States","USD"
"RS","RELIANCE STEEL & ALUMINUM","Equity","0.17","83.18","12,919.00","1,074,602.42","1,074,602.42","Materials","US7595091023","New York Stock Exchange Inc.","United States","USD"
"HRC","HILL ROM HOLDINGS INC","Equity","0.17","90.94","11,786.00","1,071,818.84","1,071,818.84","Health Care","US4314751029","New York Stock Exchange Inc.","United States","USD"
"PRAH","PRA HEALTH SCIENCES INC","Equity","0.17","103.26","10,374.00","1,071,219.24","1,071,219.24","Health Care","US69354M1080","NASDAQ","United States","USD"
"STWD","STARWOOD PROPERTY TRUST REIT INC","Equity","0.17","21.80","49,113.00","1,070,663.40","1,070,663.40","Financials","US85571B1052","New York Stock Exchange Inc.","United States","USD"
"MASI","MASIMO CORP","Equity","0.17","120.04","8,901.00","1,068,476.04","1,068,476.04","Health Care","US5747951003","NASDAQ","United States","USD"
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.17","20.68","51,635.00","1,067,811.80","1,067,811.80","Financials","US6802231042","New York Stock Exchange Inc.","United States","USD"
"BWXT","BWX TECHNOLOGIES INC","Equity","0.17","59.97","17,796.00","1,067,226.12","1,067,226.12","Industrials","US05605H1005","New York Stock Exchange Inc.","United States","USD"
"LOPE","GRAND CANYON EDUCATION INC","Equity","0.17","120.41","8,845.00","1,065,026.45","1,065,026.45","Consumer Discretionary","US38526M1062","NASDAQ","United States","USD"
"VICI","VICI PPTYS INC","Equity","0.17","21.45","49,598.00","1,063,877.10","1,063,877.10","Real Estate","US9256521090","New York Stock Exchange Inc.","United States","USD"
"VVC","VECTREN CORP","Equity","0.17","71.60","14,839.00","1,062,472.40","1,062,472.40","Utilities","US92240G1013","New York Stock Exchange Inc.","United States","USD"
"NRZ","NEW RESIDENTIAL INVESTMENT REIT CO","Equity","0.17","17.96","59,148.00","1,062,298.08","1,062,298.08","Financials","US64828T2015","New York Stock Exchange Inc.","United States","USD"
"PK","PARK HOTELS RESORTS INC","Equity","0.16","29.66","35,723.00","1,059,544.18","1,059,544.18","Real Estate","US7005171050","New York Stock Exchange Inc.","United States","USD"
"CTLT","CATALENT INC","Equity","0.16","43.38","24,419.00","1,059,296.22","1,059,296.22","Health Care","US1488061029","New York Stock Exchange Inc.","United States","USD"
"BIO","BIO RAD LABORATORIES INC CLASS A","Equity","0.16","287.69","3,681.00","1,058,986.89","1,058,986.89","Health Care","US0905722072","New York Stock Exchange Inc.","United States","USD"
"DEI","DOUGLAS EMMETT REIT INC","Equity","0.16","36.77","28,476.00","1,047,062.52","1,047,062.52","Real Estate","US25960P1093","New York Stock Exchange Inc.","United States","USD"
"BERY","BERRY GLOBAL GROUP INC","Equity","0.16","44.23","23,433.00","1,036,441.59","1,036,441.59","Materials","US08579W1036","New York Stock Exchange Inc.","United States","USD"
"SAGE","SAGE THERAPEUTICS INC","Equity","0.16","121.44","8,534.00","1,036,368.96","1,036,368.96","Health Care","US78667J1088","NASDAQ","United States","USD"
"POOL","POOL CORP","Equity","0.16","144.23","7,110.00","1,025,475.30","1,025,475.30","Consumer Discretionary","US73278L1052","NASDAQ","United States","USD"
"MUR","MURPHY OIL CORP","Equity","0.16","35.05","29,229.00","1,024,476.45","1,024,476.45","Energy","US6267171022","New York Stock Exchange Inc.","United States","USD"
"WBS","WEBSTER FINANCIAL CORP","Equity","0.16","59.60","17,129.00","1,020,888.40","1,020,888.40","Financials","US9478901096","New York Stock Exchange Inc.","United States","USD"
"FCEA","FOREST CITY REALTY REIT INC TRUST","Equity","0.16","25.18","40,195.00","1,012,110.10","1,012,110.10","Real Estate","US3456051099","New York Stock Exchange Inc.","United States","USD"
"PODD","INSULET CORP","Equity","0.16","92.41","10,948.00","1,011,704.68","1,011,704.68","Health Care","US45784P1012","NASDAQ","United States","USD"
"AMH","AMERICAN HOMES RENT REIT CLASS A","Equity","0.16","20.74","48,712.00","1,010,286.88","1,010,286.88","Real Estate","US02665T3068","New York Stock Exchange Inc.","United States","USD"
"USD","USD CASH","Cash","0.16","100.00","1,006,468.00","1,006,467.86","1,006,467.86","Cash and/or Derivatives","-","-","United States","USD"
"LIVN","LIVANOVA PLC","Equity","0.16","116.69","8,613.00","1,005,050.97","1,005,050.97","Health Care","GB00BYMT0J19","NASDAQ","United States","USD"
"PACW","PACWEST BANCORP","Equity","0.16","44.24","22,663.00","1,002,611.12","1,002,611.12","Financials","US6952631033","NASDAQ","United States","USD"
"HXL","HEXCEL CORP","Equity","0.15","63.50","15,697.00","996,759.50","996,759.50","Industrials","US4282911084","New York Stock Exchange Inc.","United States","USD"
"WAL","WESTERN ALLIANCE","Equity","0.15","54.50","18,226.00","993,317.00","993,317.00","Financials","US9576381092","New York Stock Exchange Inc.","United States","USD"
"ACC","AMERICAN CAMPUS COMMUNITIES REIT I","Equity","0.15","40.26","24,631.00","991,644.06","991,644.06","Real Estate","US0248351001","New York Stock Exchange Inc.","United States","USD"
"NATI","NATIONAL INSTRUMENTS CORP","Equity","0.15","44.49","22,272.00","990,881.28","990,881.28","Information Technology","US6365181022","NASDAQ","United States","USD"
"RIG","TRANSOCEAN LTD","Equity","0.15","12.61","78,346.00","987,943.06","987,943.06","Energy","CH0048265513","New York Stock Exchange Inc.","United States","USD"
"BC","BRUNSWICK CORP","Equity","0.15","61.24","16,130.00","987,801.20","987,801.20","Consumer Discretionary","US1170431092","New York Stock Exchange Inc.","United States","USD"
"MSG","MADISON SQUARE GARDEN CLASS A","Equity","0.15","292.16","3,373.00","985,455.68","985,455.68","Communication","US55825T1034","New York Stock Exchange Inc.","United States","USD"
"HTA","HEALTHCARE TRUST OF AMERICA REIT I","Equity","0.15","25.79","38,146.00","983,785.34","983,785.34","Real Estate","US42225P5017","New York Stock Exchange Inc.","United States","USD"
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.15","47.75","20,511.00","979,400.25","979,400.25","Financials","US31847R1023","New York Stock Exchange Inc.","United States","USD"
"LPLA","LPL FINANCIAL HOLDINGS INC","Equity","0.15","60.78","16,085.00","977,646.30","977,646.30","Financials","US50212V1008","NASDAQ","United States","USD"
"DNB","DUN & BRADSTREET CORP","Equity","0.15","142.38","6,814.00","970,177.32","970,177.32","Industrials","US26483E1001","New York Stock Exchange Inc.","United States","USD"
"HEIA","HEICO CORP CLASS A","Equity","0.15","70.99","13,654.00","969,297.46","969,297.46","Industrials","US4228062083","New York Stock Exchange Inc.","United States","USD"
"PFPT","PROOFPOINT INC","Equity","0.15","107.17","9,028.00","967,530.76","967,530.76","Information Technology","US7434241037","NASDAQ","United States","USD"
"RNG","RINGCENTRAL INC CLASS A","Equity","0.15","81.33","11,876.00","965,875.08","965,875.08","Information Technology","US76680R2067","New York Stock Exchange Inc.","United States","USD"
"RGLD","ROYAL GOLD INC","Equity","0.15","78.61","12,280.00","965,330.80","965,330.80","Materials","US7802871084","NASDAQ","United States","USD"
"WSO","WATSCO INC","Equity","0.15","165.25","5,793.00","957,293.25","957,293.25","Industrials","US9426222009","New York Stock Exchange Inc.","United States","USD"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Equity","0.15","86.99","10,946.00","952,192.54","952,192.54","Industrials","US5339001068","NASDAQ","United States","USD"
"GNTX","GENTEX CORP","Equity","0.15","18.94","50,042.00","947,795.48","947,795.48","Consumer Discretionary","US3719011096","NASDAQ","United States","USD"
